Ranking,Tier,Player ID,Player,Position,Team,Age,Prev Rank,Movement,Signed,ETA,In-Person Look
1,1,*05u9z*,Roman Anthony,OF,BOS,21,1,0,2022,2025,Y
2,2,*0662o*,Sebastian Walcott,"3B,SS",TEX,19.1,2,0,2023,2026,Y
3,2,*06f0q*,Kristian Campbell,"2B,SS,OF",BOS,22.9,3,0,2023,Debuted,Y
4,2,*05r9j*,Marcelo Mayer,SS,BOS,22.4,7,3,2021,2025,Y
5,2,*05rik*,Bubba Chandler,SP,PIT,22.6,6,1,2021,2025,Y
6,2,*05u3u*,Konnor Griffin,SS,PIT,19,25,19,2024,2027,Y
7,2,*062k5*,Nick Kurtz,1B,ATH,22.1,31,24,2024,Debuted,Y
8,2,*067yc*,Leodalis De Vries,SS,SD,18.6,24,16,2024,2026,Y
9,3,*05rbv*,Samuel Basallo,"C,1B",BAL,20.7,8,-1,2021,2025,Y
10,3,*06eyu*,Zyhir Hope,OF,LAD,20.3,26,16,2023,2026,Y
11,3,*05yai*,Bryce Rainer,SS,DET,19.8,20,9,2024,2027,Y
12,3,*06aw3*,JJ Wetherholt,SS,STL,22.6,14,2,2024,2025,
13,3,*063vu*,Matt Shaw,"2B,3B,SS",CHC,23.5,5,-8,2023,Debuted,Y
14,3,*05zde*,Travis Bazzana,2B,CLE,22.7,11,-3,2024,2025,
15,3,*06ibv*,Jesus Made,SS,MIL,18,27,12,2024,2028,Y
16,3,*05rb0*,Jackson Jobe,SP,DET,22.8,10,-6,2021,Debuted,Y
17,3,*05r3i*,Andrew Painter,SP,PHI,22.1,15,-2,2021,2025,Y
18,3,*054p6*,Emmanuel Rodriguez,OF,MIN,22.2,16,-2,2019,2025,Y
19,3,*05yby*,Kevin McGonigle,"2B,SS",DET,20.7,9,-10,2023,2026,Y
20,3,*05xtz*,Dalton Rushing,"C,OF",LAD,24.2,18,-2,2022,2025,
21,4,*05u9y*,Max Clark,OF,DET,20.4,12,-9,2023,2026,Y
22,4,*05zh9*,Luke Keaschall,2B,MIN,22.7,28,6,2023,Debuted,Y
23,4,*05u96*,Bryce Eldridge,1B,SF,20.5,21,-2,2023,2025,Y
24,4,*05yj0*,Chase Dollander,SP,COL,23.5,22,-2,2023,Debuted,Y
25,4,*05uc7*,Noah Schultz,SP,CHW,21.7,23,-2,2022,2025,Y
26,4,*05u9q*,Jac Caglianone,1B,KC,22.2,30,4,2024,2025,Y
27,4,*061zv*,Josue De Paula,OF,LAD,19.9,42,15,2022,2026,
28,4,*05u3v*,Walker Jenkins,OF,MIN,20.2,17,-11,2023,2026,Y
29,4,*060jo*,Cam Smith,3B,HOU,22.2,29,0,2024,Debuted,
30,4,*06b72*,George Lombard Jr.,SS,NYY,19.9,32,2,2023,2026,Y
31,4,*05js5*,Coby Mayo,3B,BAL,23.4,33,2,2020,Debuted,Y
32,4,*04z6m*,Agustin Ramirez,"C,1B",MIA,23.6,80,48,2019,Debuted,Y
33,4,*0630d*,Drake Baldwin,C,ATL,24.1,34,1,2022,Debuted,Y
34,4,*05rb3*,Chase Burns,SP,CIN,22.3,35,1,2024,2025,
35,4,*05tp6*,Thomas White,SP,MIA,20.6,37,2,2023,2026,
36,4,*05ycl*,Travis Sykora,SP,WSH,21,40,4,2023,2026,Y
37,4,*05y3p*,Arjun Nimmala,SS,TOR,19.5,53,16,2023,2026,Y
38,4,*05t9n*,Carson Williams,SS,TB,21.9,19,-19,2021,2025,Y
39,5,*060ub*,Colt Emerson,SS,SEA,19.8,41,2,2023,2026,Y
40,5,*05yix*,Jaison Chourio,OF,CLE,20,44,4,2022,2027,Y
41,5,*067xj*,Cooper Pratt,SS,MIL,20.7,65,24,2023,2026,Y
42,5,*066sx*,Jonny Farmelo,OF,SEA,20.6,47,5,2023,2026,
43,5,*05rcg*,Braden Montgomery,OF,CHW,22,48,5,2024,2026,Y
44,5,*05wxy*,Kyle Teel,C,CHW,23.2,50,6,2023,2025,Y
45,5,*05r5e*,Angel Genao,SS,CLE,21,52,7,2021,2026,Y
46,5,*05y7n*,Jarlin Susana,SP,WSH,21.1,56,10,2022,2026,Y
47,5,*060gd*,Quinn Mathews,SP,STL,24.6,36,-11,2023,2025,
48,5,*05u36*,Aidan Miller,SS,PHI,20.9,45,-3,2023,2026,Y
49,5,*05r1m*,Jordan Lawlar,SS,ARI,22.8,61,12,2021,Debuted,Y
50,5,*05mx9*,Felnin Celesten,SS,SEA,19.6,46,-4,2023,2027,Y
51,5,*04azu*,Kumar Rocker,SP,TEX,25.5,38,-13,2022,Debuted,Y
52,5,*05zd4*,Hagen Smith,SP,CHW,21.7,39,-13,2024,2025,Y
53,5,*06ier*,Ryan Sloan,SP,SEA,19.3,120,67,2024,2027,
54,5,*064o4*,Demetrio Crisantes,2B,ARI,20.7,60,6,2022,2026,
55,5,*05r64*,Thayron Liranzo,"C,1B",DET,21.8,51,-4,2021,2026,Y
56,5,*0637j*,Josue Briceno,1B,DET,20.6,66,10,2023,2026,Y
57,6,*06c78*,Franklin Arias,"2B,SS",BOS,19.5,86,29,2023,2027,Y
58,6,*06bsb*,Eduardo Tait,C,PHI,18.7,73,15,2023,2027,Y
59,6,*062pp*,Xavier Isaac,1B,TB,21.4,74,15,2022,2026,Y
60,6,*05rfc*,Lazaro Montes,OF,SEA,20.5,75,15,2022,2026,
61,6,*06alk*,Charlie Condon,OF,COL,22.1,76,15,2024,2026,Y
62,6,*06c79*,Eduardo Quintero,OF,LAD,19.6,43,-19,2023,2027,
63,6,*06agr*,Slade Caldwell,OF,ARI,18.9,125,62,2024,2027,
64,6,*060la*,Jett Williams,SS,NYM,21.5,59,-5,2022,2025,Y
65,6,*061mh*,Robby Snelling,SP,MIA,21.4,162,97,2022,2025,
66,6,*05u1y*,Cam Collier,3B,CIN,20.5,53,-13,2022,2026,Y
67,6,*05xu1*,Alex Freeland,SS,LAD,23.7,135,68,2022,2026,
68,6,*06423*,Aroon Escobar,2B,PHI,20.3,106,38,2022,2027,Y
69,6,*05rbs*,Moises Ballesteros,C,CHC,21.5,93,24,2020,2025,Y
70,6,*066mk*,Welbyn Francisca,"2B,SS",CLE,19,64,-6,2023,2027,Y
71,6,*05yid*,Michael Arroyo,2B,SEA,20.5,58,-13,2022,2026,
72,6,*05uei*,Chase DeLauter,OF,CLE,23.5,62,-10,2022,2025,Y
73,6,*066er*,Grant Taylor,SP,CHW,23,82,9,2023,2026,Y
74,6,*05uo2*,Logan Henderson,SP,MIL,23.2,85,11,2021,Debuted,Y
75,6,*05zq5*,Charlee Soto,SP,MIN,19.7,108,33,2023,2026,Y
76,6,*05js6*,Ricky Tiedemann,SP,TOR,22.7,79,3,2021,2026,Y
77,6,*061yu*,Jacob Misiorowski,SP,MIL,23.1,109,32,2022,2025,Y
78,6,*063e5*,Caden Dana,SP,LAA,21.4,70,-8,2022,Debuted,
79,6,*061bo*,Rhett Lowder,SP,CIN,23.2,68,-11,2023,Debuted,
80,6,*067yp*,Ralphy Velazquez,1B,CLE,19.9,72,-8,2023,2026,Y
81,6,*05y7x*,Cole Young,"2B,SS",SEA,21.8,87,6,2022,2025,
82,6,*061yt*,Alan Roden,OF,TOR,25.4,88,6,2022,Debuted,Y
83,7,*04qow*,Kevin Alcantara,OF,CHC,22.8,90,7,2018,Debuted,Y
84,7,*061gx*,Jacob Melton,OF,HOU,24.7,91,7,2022,2025,Y
85,7,*0622w*,Chandler Simpson,OF,TB,24.5,92,7,2022,Debuted,Y
86,7,*06f1b*,Brody Hopkins,SP,TB,23.3,83,-3,2023,2026,Y
87,7,*05joq*,Connor Prielipp,SP,MIN,24.3,84,-3,2022,2025,Y
88,7,*05gss*,Jeferson Quero,C,MIL,22.6,77,-11,2019,2025,Y
89,7,*05y3q*,Blake Mitchell,C,KC,20.8,94,5,2023,2026,Y
