Ranking,Tier,Player ID,Player,Position,Team,Age,Previous,Movement
1,1,*03wha*,Ronald Acuna Jr.,OF,ATL,26.4,1,0
2,1,*04lgp*,Bobby Witt Jr.,SS,KC,23.9,2,0
3,2,*02yc4*,Shohei Ohtani,"UT,P",LAD,29.8,9,6
4,2,*03ynj*,Juan Soto,OF,NYY,25.5,5,1
5,2,*03pir*,Kyle Tucker,OF,HOU,27.3,7,2
6,2,*03zbh*,Fernando Tatis Jr.,OF,SD,25.3,6,0
7,2,*05udp*,Elly De La Cruz,"3B,SS",CIN,22.3,26,19
8,2,*04fhb*,Julio Rodriguez,OF,SEA,23.4,3,-5
9,2,*02btf*,Mookie Betts,"2B,OF",LAD,31.6,8,-1
10,2,*050w9*,Gunnar Henderson,"3B,SS",BAL,22.9,15,5
11,3,*04355*,Yordan Alvarez,OF,HOU,26.9,10,-1
12,3,*04y4e*,Corbin Carroll,OF,ARI,23.7,4,-8
13,3,*01fh9*,Bryce Harper,1B,PHI,31.6,12,-1
14,3,*03pom*,Austin Riley,3B,ATL,27.1,11,-3
15,3,*02z0s*,Aaron Judge,OF,NYY,32,16,1
16,3,*030uc*,Rafael Devers,3B,BOS,27.5,17,1
17,3,*02mw6*,Corey Seager,SS,TEX,30,13,-4
18,3,*02c68*,Trea Turner,SS,PHI,30.9,18,0
19,3,*01ub6*,Jose Ramirez,3B,CLE,31.6,20,1
20,3,*041pz*,Pete Alonso,1B,NYM,29.4,23,3
21,3,*02mwm*,Matt Olson,1B,ATL,30.1,19,-2
22,3,*0512v*,Michael Harris II,OF,ATL,23.2,26,4
23,3,*04qk8*,CJ Abrams,SS,WSH,23.6,48,25
24,4,*03fi0*,Ozzie Albies,2B,ATL,27.3,28,4
25,4,*01cgo*,Freddie Freeman,1B,LAD,34.7,24,-1
26,4,*02611*,Francisco Lindor,SS,NYM,30.5,25,-1
27,4,*060pm*,Wyatt Langford,OF,TEX,22.5,27,0
28,4,*05m1e*,Jackson Chourio,OF,MIL,20,34,6
29,4,*05xch*,Junior Caminero,3B,TB,20.8,31,2
30,4,*047l7*,Luis Robert Jr.,OF,CHW,26.8,22,-8
31,4,*05ybv*,Jackson Holliday,SS,BAL,20.4,33,2
32,4,*04aq4*,Adolis Garcia,OF,TEX,31.2,43,11
33,4,*03ojr*,Vladimir Guerrero Jr.,1B,TOR,25.1,21,-12
34,4,*041rd*,Corbin Burnes,P,BAL,29.5,32,-2
35,4,*04ptt*,Tarik Skubal,P,DET,27.5,63,28
36,4,*03nuc*,Luis Castillo,P,SEA,31.4,37,1
37,4,*02btx*,Tyler Glasnow,P,LAD,30.7,52,15
38,4,*04yie*,George Kirby,P,SEA,26.3,39,1
39,4,*01sb3*,Zack Wheeler,P,PHI,33.9,40,1
40,4,*04n0m*,Logan Gilbert,P,SEA,27,72,32
41,5,*01s8u*,Mike Trout,OF,LAA,32.8,55,14
42,5,*02bu9*,Marcus Semien,2B,TEX,33.6,46,4
43,5,*05r8n*,Yoshinobu Yamamoto,P,LAD,25.7,61,18
44,5,*04pko*,Grayson Rodriguez,P,BAL,24.5,44,0
45,5,*04y9p*,Anthony Volpe,SS,NYY,23,82,37
46,5,*024m0*,Jose Altuve,2B,HOU,34,49,3
47,5,*03dc4*,Freddy Peralta,P,MIL,27.9,50,3
48,5,*041ma*,Cole Ragans,P,KC,26.4,78,30
49,5,*04q2n*,Adley Rutschman,C,BAL,26.2,54,5
50,5,*03yrz*,William Contreras,C,MIL,26.4,80,30
51,5,*01svq*,Manny Machado,3B,SD,31.8,42,-9
52,5,*041qo*,Zac Gallen,P,ARI,28.8,36,-16
53,5,*01spo*,Gerrit Cole,P,NYY,33.7,41,-12
54,6,*03zlh*,Oneil Cruz,SS,PIT,25.6,45,-9
55,6,*05mdt*,Evan Carter,OF,TEX,21.7,57,2
56,6,*02bqr*,Blake Snell,P,SF,31.4,59,3
57,6,*03dbm*,Logan Webb,P,SF,27.5,60,3
58,6,*02i3o*,Aaron Nola,P,PHI,30.9,62,4
59,6,*05h2u*,Jared Jones,P,PIT,22.7,196,137
60,6,*02i2j*,Max Fried,P,ATL,30.3,64,4
61,6,*03pjd*,Josh Naylor,1B,CLE,26.9,100,39
62,6,*042sz*,Will Smith,C,LAD,29.1,79,17
63,6,*04nb2*,Riley Greene,OF,DET,23.6,88,25
64,6,*04aeb*,Royce Lewis,3B,MIN,24.9,35,-29
65,6,*043f9*,Pablo Lopez,P,MIN,28.2,53,-12
66,6,*02hi7*,Kevin Gausman,P,TOR,33.3,51,-15
67,6,*040b5*,Randy Arozarena,OF,TB,29.2,47,-20
68,6,*03df2*,Dylan Cease,P,SD,28.4,118,50
69,7,*05rat*,James Wood,OF,WSH,21.6,107,38
70,7,*025dn*,Christian Yelich,OF,MIL,32.4,67,-3
71,7,*04auj*,Framber Valdez,P,HOU,30.5,74,3
72,7,*03e5m*,Bryan Reynolds,OF,PIT,29.3,66,-6
73,7,*050c3*,Jasson Dominguez,OF,NYY,21.2,69,-4
74,7,*041ps*,Nick Lodolo,P,CIN,26.3,129,55
75,7,*045qo*,Jazz Chisholm Jr.,OF,MIA,26.3,86,11
76,7,*031t0*,Gleyber Torres,2B,NYY,27.4,81,5
77,7,*05184*,Vinnie Pasquantino,1B,KC,26.6,77,0
78,7,*041qb*,Bo Bichette,SS,TOR,26.2,29,-49
79,7,*04ps7*,Joe Ryan,P,MIN,27.9,94,15
80,7,*0512e*,Spencer Steer,"1B,3B,OF",CIN,26.4,114,34
81,7,*05ua7*,Jackson Merrill,SS,SD,21,97,16
82,7,*05js5*,Coby Mayo,3B,BAL,22.4,96,14
83,7,*05gwz*,Bobby Miller,P,LAD,25.1,65,-18
84,7,*05wru*,Paul Skenes,P,PIT,21.9,125,41
85,7,*05y23*,Tanner Bibee,P,CLE,25.2,97,12
86,8,*03qr0*,Cedric Mullins,OF,BAL,29.6,123,37
87,8,*03cag*,Kyle Schwarber,OF,PHI,31.2,92,5
88,8,*05mre*,Spencer Strider,P,ATL,25.5,14,-74
89,8,*05aoc*,Eury Perez,P,MIA,21.1,38,-51
90,8,*0326s*,Ketel Marte,2B,ARI,30.6,104,14
91,8,*05vy6*,Bryce Miller,P,SEA,25.7,134,43
92,8,*04de1*,Triston Casas,1B,BOS,24.3,56,-36
93,8,*02w7p*,Alex Bregman,3B,HOU,30.1,85,-8
94,8,*02yk4*,Tyler O'Neill,OF,BOS,28.9,237,143
95,8,*0425t*,Bailey Ober,P,MIN,28.8,135,40
96,8,*05jp7*,Gavin Williams,P,CLE,24.8,71,-25
97,8,*04y44*,Josh Jung,3B,TEX,26.2,87,-10
98,8,*03deg*,Justin Steele,P,CHC,28.8,95,-3
99,8,*04p10*,Bryson Stott,2B,PHI,26.6,102,3
100,8,*063vu*,Matt Shaw,2B,CHC,22.5,133,33
101,9,*041ah*,Josh Lowe,OF,TB,26.3,90,-11
102,9,*04pks*,Matt McLain,"2B,SS",CIN,24.8,105,3
103,9,*04b02*,Seiya Suzuki,OF,CHC,29.7,106,3
104,9,*05ras*,Colton Cowser,OF,BAL,24.1,177,73
105,9,*05u9z*,Roman Anthony,OF,BOS,20,108,3
106,9,*045kb*,Cristian Javier,P,HOU,27.1,140,34
107,9,*03120*,Cody Bellinger,"1B,OF",CHC,28.8,67,-40
108,9,*02mw3*,Christian Walker,1B,ARI,33.1,110,2
109,9,*03btv*,Sandy Alcantara,P,MIA,28.7,130,21
110,9,*04mlt*,Shane McClanahan,P,TB,27,131,21
111,9,*025gb*,Xander Bogaerts,SS,SD,31.6,84,-27
112,9,*05g3x*,Maikel Garcia,3B,KC,24.2,212,100
113,9,*05ajg*,Ha-Seong Kim,"2B,3B,SS",SD,28.6,113,0
114,9,*05gsc*,Jordan Westburg,"2B,3B",BAL,25.2,241,127
115,9,*01usi*,Marcell Ozuna,UT,ATL,33.5,196,81
116,9,*05r1m*,Jordan Lawlar,SS,ARI,21.8,70,-46
117,9,*02xic*,Teoscar Hernandez,OF,LAD,31.6,162,45
118,9,*03m6o*,Yandy Diaz,1B,TB,32.8,101,-17
119,10,*04qnc*,Francisco Alvarez,C,NYM,22.5,116,-3
120,10,*04aea*,Hunter Greene,P,CIN,24.8,117,-3
121,10,*051dl*,Edouard Julien,2B,MIN,25,217,96
122,10,*05jrh*,Colt Keith,"2B,3B",DET,22.7,103,-19
123,10,*03dbo*,Jordan Montgomery,P,ARI,31.4,120,-3
124,10,*0596e*,Dylan Crews,OF,WSH,21.9,68,-56
125,10,*03ae8*,Dansby Swanson,SS,CHC,30.2,122,-3
126,10,*03pzn*,Andres Gimenez,2B,CLE,25.7,98,-28
127,10,*025he*,George Springer,OF,TOR,34.6,124,-3
128,10,*05ge9*,Shota Imanaga,P,CHC,30.7,190,62
129,10,*05rb0*,Jackson Jobe,P,DET,21.8,126,-3
130,10,*03aac*,Walker Buehler,P,LAD,29.8,127,-3
131,10,*041r1*,Jesus Luzardo,P,MIA,26.6,93,-38
132,10,*0524l*,Yainer Diaz,C,HOU,25.6,153,21
133,10,*025i9*,J.T. Realmuto,C,PHI,33.1,121,-12
134,10,*04yk2*,Spencer Torkelson,1B,DET,24.7,100,-34
135,10,*05ub0*,Zack Gelof,2B,OAK,24.6,132,-3
136,10,*04yi8*,Spencer Jones,OF,NYY,23,175,39
