Ranking,Tier,Player,Team,Position,Signed,ETA,Age,Prev Rank,Movement,OBP,Player ID
1,1,Wyatt Langford,TEX,OF,2023,Debuted,22.5,1,0,,*060pm*
2,1,Junior Caminero,TB,3B,2019,Debuted,20.8,2,0,,*05xch*
3,1,Jackson Holliday,BAL,SS,2022,Debuted,20.4,3,0,UP,*05ybv*
4,1,Jackson Chourio,MIL,OF,2021,Debuted,20,4,0,,*05m1e*
5,2,James Wood,WSH,OF,2021,2024,21.6,9,4,UP,*05rat*
6,2,Jackson Merrill,SD,SS,2021,Debuted,21,8,2,,*05ua7*
7,2,Jasson Dominguez,NYY,OF,2019,Debuted,21.2,7,0,UP,*050c3*
8,2,Coby Mayo,BAL,3B,2020,2024,22.4,10,2,,*05js5*
9,2,Paul Skenes,PIT,P,2023,2024,21.9,19,10,,*05wru*
10,3,Dylan Crews,WSH,OF,2023,2024,21.9,5,-5,UP,*0596e*
11,3,Matt Shaw,CHC,2B,2023,2024,22.5,18,7,,*063vu*
12,3,Jared Jones,PIT,P,2020,Debuted,22.7,44,32,,*05h2u*
13,3,Jordan Lawlar,ARI,SS,2021,Debuted,21.8,11,-2,,*05r1m*
14,3,Kyle Manzardo,CLE,1B,2021,2024,23.8,25,-1,,*05rfu*
15,3,Chase DeLauter,CLE,OF,2022,2024,22.5,12,-2,,*05uei*
16,3,Roman Anthony,BOS,OF,2022,2024,20,13,-2,,*05u9z*
17,4,Spencer Jones,NYY,OF,2022,2024,23,15,-1,,*04yi8*
18,4,Emmanuel Rodriguez,MIN,OF,2019,2025,21.2,26,9,UP,*054p6*
19,4,Walker Jenkins,MIN,OF,2023,2025,19.2,16,-2,,*05u3v*
20,4,Jackson Jobe,DET,P,2021,2025,21.8,20,1,,*05rb0*
21,4,Noelvi Marte,CIN,3B,2018,Debuted,22.6,22,2,,*04qnd*
22,4,Ethan Salas,SD,C,2023,2025,17.9,17,-4,,*05ybr*
23,4,Samuel Basallo,BAL,C,2021,2025,19.7,23,1,UP,*05rbv*
24,4,Carson Williams,TB,SS,2021,2025,20.9,42,19,UP,*05t9n*
25,4,Colt Keith,DET,"2B,3B",2020,Debuted,22.7,14,-10,UP,*05jrh*
26,4,Heston Kjerstad,BAL,UT,2020,Debuted,25.2,49,24,UP,*0596f*
27,4,Colson Montgomery,CHW,"3B,SS",2021,2024,22.2,24,-3,,*05rch*
28,4,Colt Emerson,SEA,SS,2023,2025,18.8,27,-1,,*060ub*
29,4,Max Clark,DET,OF,2023,2025,19.4,28,-1,,*05u9y*
30,5,Andy Pages,LAD,OF,2018,Debuted,23.4,53,23,UP,*04ru5*
31,5,Owen Caissie,CHC,OF,2020,2024,21.8,30,-1,UP,*05jsg*
32,5,Lazaro Montes,SEA,"1B,OF",2022,2025,19.5,64,32,UP,*05rfc*
33,5,Cade Horton,CHC,P,2022,2024,22.7,32,-1,,*05gww*
34,5,Andrew Painter,PHI,P,2021,2025,21.1,34,0,,*05r3i*
35,5,Robby Snelling,SD,P,2022,2025,20.4,35,0,,*061mh*
36,5,Leodalis De Vries,SD,SS,2024,2027,17.6,36,0,,*067yc*
37,5,Brooks Lee,MIN,SS,2022,2024,23.2,37,0,,*04yig*
38,5,Jett Williams,NYM,SS,2022,2026,20.5,39,1,UP,*060la*
39,5,Marcelo Mayer,BOS,SS,2021,2024,21.4,41,2,UP,*05r9j*
40,5,Xavier Isaac,TB,1B,2022,2025,20.4,63,23,UP,*062pp*
41,5,Pete Crow-Armstrong,CHC,OF,2020,Debuted,22.1,31,-10,,*051wv*
42,6,Christian Scott,NYM,P,2022,2024,24.9,70,28,,*05xpq*
43,6,Adael Amador,COL,SS,2019,2025,21.1,21,-22,,*04ysv*
44,6,Tommy Troy,ARI,SS,2023,2025,22.3,59,15,,*05jse*
45,6,Sebastian Walcott,TEX,SS,2023,2027,18.1,50,5,,*0662o*
46,6,Cole Young,SEA,SS,2022,2026,20.8,51,5,UP,*05y7x*
47,6,Bryce Eldridge,SF,OF,2023,2026,19.5,52,5,,*05u96*
48,6,Ricky Tiedemann,TOR,P,2021,2024,21.7,33,-15,,*05js6*
