Ranking,Player,Position,Team,Age,Previous,Movement,Tier,Player ID
1,Shohei Ohtani,"UT,P",LAD,31.1,1,0,1,*02yc4*
2,Bobby Witt Jr.,SS,KC,25.2,2,0,2,*04lgp*
3,Kyle Tucker,OF,CHC,28.6,3,0,2,*03pir*
4,Elly De La Cruz,SS,CIN,23.6,6,2,2,*05udp*
5,Aaron Judge,OF,NYY,33.3,7,2,2,*02z0s*
6,Juan Soto,OF,NYM,26.8,8,2,2,*03ynj*
7,Corbin Carroll,OF,ARI,25,9,2,3,*04y4e*
8,Tarik Skubal,P,DET,28.7,10,2,3,*04ptt*
9,Ronald Acuna Jr.,OF,ATL,27.7,4,-5,3,*03wha*
10,James Wood,OF,WSH,22.9,5,-5,3,*05rat*
11,Jackson Chourio,OF,MIL,21.3,12,1,3,*05m1e*
12,Fernando Tatis Jr.,OF,SD,26.6,19,7,3,*03zbh*
13,Gunnar Henderson,SS,BAL,24.1,11,-2,3,*050w9*
14,Jose Ramirez,3B,CLE,32.9,16,2,3,*01ub6*
15,Francisco Lindor,SS,NYM,31.8,13,-2,3,*02611*
16,Pete Crow-Armstrong,OF,CHC,23.4,18,2,3,*051wv*
17,Julio Rodriguez,OF,SEA,24.6,39,22,3,*04fhb*
18,Paul Skenes,P,PIT,23.2,20,2,4,*05wru*
19,Garrett Crochet,P,BOS,26.1,22,3,4,*05ajh*
20,Zack Wheeler,P,PHI,35.2,23,3,4,*01sb3*
21,Hunter Brown,P,HOU,27,24,3,4,*05144*
22,Jazz Chisholm Jr.,"2B,3B,OF",NYY,27.5,25,3,4,*045qo*
23,Zach Neto,SS,LAA,24.5,40,17,4,*05xu5*
24,Junior Caminero,3B,TB,22.1,27,3,4,*05xch*
25,Vladimir Guerrero Jr.,"1B,3B",TOR,26.4,29,4,4,*03ojr*
26,Wyatt Langford,OF,TEX,23.7,14,-12,4,*060pm*
27,Pete Alonso,1B,NYM,30.7,30,3,4,*041pz*
28,Cal Raleigh,C,SEA,28.7,32,4,4,*04my4*
29,Ketel Marte,2B,ARI,31.8,21,-8,4,*0326s*
30,Nick Kurtz,1B,ATH,22.4,48,18,4,*062k5*
31,Bryce Harper,1B,PHI,32.8,33,2,4,*01fh9*
32,Yordan Alvarez,OF,HOU,28.1,17,-15,4,*04355*
33,Roman Anthony,OF,BOS,21.2,44,11,4,*05u9z*
34,Yoshinobu Yamamoto,P,LAD,27,34,0,4,*05r8n*
35,Logan Gilbert,P,SEA,28.3,35,0,4,*04n0m*
36,Kyle Schwarber,OF,PHI,32.4,43,7,4,*03cag*
37,Manny Machado,3B,SD,33.1,37,0,5,*01svq*
38,Riley Greene,OF,DET,24.9,26,-12,5,*04nb2*
39,Oneil Cruz,"SS,OF",PIT,26.9,15,-24,5,*03zlh*
40,Jackson Merrill,OF,SD,22.3,28,-12,5,*05ua7*
41,CJ Abrams,SS,WSH,24.9,41,0,5,*04qk8*
42,Matt Olson,1B,ATL,31.4,38,-4,5,*02mwm*
43,Trea Turner,SS,PHI,32.1,45,2,5,*02c68*
44,Spencer Strider,P,ATL,26.8,36,-8,5,*05mre*
45,Brent Rooker,OF,ATH,30.8,47,2,5,*04e2u*
46,Eury Perez,P,MIA,22.3,52,6,5,*05aoc*
47,Joe Ryan,P,MIN,29.2,49,2,5,*04ps7*
48,Austin Riley,3B,ATL,28.4,39,-9,5,*03pom*
49,Alex Bregman,3B,BOS,31.4,55,6,5,*02w7p*
50,Mookie Betts,"2B,SS,OF",LAD,32.9,42,-8,5,*02btf*
51,Josh Naylor,1B,SEA,28.1,46,-5,5,*03pjd*
52,Konnor Griffin,SS,PIT,19.3,56,4,5,*05u3u*
53,Kevin McGonigle,"2B,SS",DET,21,66,13,5,*05yby*
54,Rafael Devers,"1B,3B",SF,28.8,31,-23,6,*030uc*
55,Max Fried,P,NYY,31.6,58,3,6,*02i2j*
56,Logan Webb,P,SF,28.7,59,3,6,*03dbm*
57,Hunter Greene,P,CIN,26,60,3,6,*04aea*
58,Freddy Peralta,P,MIL,29.2,64,6,6,*03dc4*
59,George Kirby,P,SEA,27.5,50,-9,6,*04yie*
60,Framber Valdez,P,HOU,31.7,62,2,6,*04auj*
61,Cristopher Sanchez,P,PHI,28.7,63,2,6,*052c8*
62,Cody Bellinger,"1B,OF",NYY,30.1,92,30,6,*03120*
63,Corey Seager,SS,TEX,31.3,65,2,6,*02mw6*
64,Christian Yelich,OF,MIL,33.7,67,3,6,*025dn*
65,Will Smith,C,LAD,30.4,68,3,6,*042sz*
66,Jacob deGrom,P,TEX,37.2,69,3,6,*02hjp*
67,Bryan Woo,P,SEA,25.5,51,-16,6,*05y62*
68,Jackson Holliday,"2B,SS",BAL,21.7,71,3,6,*05ybv*
69,Sebastian Walcott,"3B,SS",TEX,19.4,72,3,6,*0662o*
70,MacKenzie Gore,P,WSH,26.5,73,3,6,*04cd5*
71,William Contreras,C,MIL,27.6,78,7,7,*03yrz*
72,Cam Smith,"3B,OF",HOU,22.5,79,7,7,*060jo*
73,Chase Burns,P,CIN,22.6,80,7,7,*05rb3*
74,Jeremy Pena,SS,HOU,27.9,82,8,7,*04ppj*
75,Spencer Schwellenbach,P,ATL,25.2,83,8,7,*05tq1*
76,Agustin Ramirez,"C,1B",MIA,23.9,115,39,7,*04z6m*
77,Jarren Duran,OF,BOS,28.9,122,45,7,*04pst*
78,Adley Rutschman,C,BAL,27.5,86,8,7,*04q2n*
79,Roki Sasaki,P,LAD,23.9,87,8,7,*05gdz*
80,Pablo Lopez,P,MIN,29.4,76,-4,7,*043f9*
81,Nick Pivetta,P,SD,32.5,163,82,7,*0316j*
82,Andy Pages,OF,LAD,24.7,88,6,7,*04ru5*
83,Randy Arozarena,OF,SEA,30.5,126,43,7,*040b5*
84,Samuel Basallo,"C,1B",BAL,21,85,1,7,*05rbv*
85,JJ Wetherholt,SS,STL,22.9,158,73,7,*06aw3*
86,Seiya Suzuki,OF,CHC,31,57,-29,8,*04b02*
87,Freddie Freeman,1B,LAD,35.9,53,-34,8,*01cgo*
88,Jordan Westburg,"2B,3B",BAL,26.5,94,6,8,*05gsc*
89,Isaac Paredes,"1B,3B",HOU,26.5,95,6,8,*04071*
90,Cole Ragans,P,KC,27.7,61,-29,8,*041ma*
91,Chris Sale,P,ATL,36.4,97,6,8,*01uca*
92,Jesus Made,SS,MIL,18.3,91,-1,8,*06ibv*
93,Zyhir Hope,OF,LAD,20.6,99,6,8,*06eyu*
94,Bo Bichette,SS,TOR,27.4,119,25,8,*041qb*
95,Marcelo Mayer,"2B,3B,SS",BOS,22.7,70,-25,8,*05r9j*
96,Shota Imanaga,P,CHC,32,74,-22,8,*05ge9*
97,Max Clark,OF,DET,20.6,104,7,8,*05u9y*
98,Tyler Soderstrom,"1B,OF",ATH,23.7,106,8,8,*05gtn*
99,Ryan Pepiot,P,TB,28,150,51,8,*0512m*
100,Kyle Stowers,OF,MIA,27.6,258,158,8,*04y97*
101,Byron Buxton,OF,MIN,31.7,174,73,8,*02i2k*
102,Tyler Glasnow,P,LAD,32,109,7,8,*02btx*
103,Jose Altuve,"2B,OF",HOU,35.3,90,-13,8,*024m0*
104,Vinnie Pasquantino,1B,KC,27.8,84,-20,8,*05184*
105,Bubba Chandler,P,PIT,22.9,111,6,8,*05rik*
106,Andrew Painter,P,PHI,22.3,112,6,8,*05r3i*
107,Dylan Crews,OF,WSH,23.1,98,-9,8,*0596e*
108,Willy Adames,SS,SF,30,138,30,8,*03atq*
109,Addison Barger,"3B,OF",TOR,25.8,170,61,8,*04qii*
110,Matt McLain,"2B,SS",CIN,26,107,-3,8,*04pks*
111,Hunter Goodman,"C,OF",COL,25.8,116,5,8,*05u2v*
112,Ceddanne Rafaela,"2B,SS,OF",BOS,24.9,202,90,8,*05gsi*
113,Luis Robert Jr.,OF,CHW,28,169,56,8,*047l7*
114,Josue De Paula,OF,LAD,20.2,121,7,8,*061zv*
115,Heliot Ramos,OF,SF,25.9,113,-2,8,*04ee8*
116,Jac Caglianone,"1B,OF",KC,22.5,105,-11,8,*05u9q*
117,Jacob Wilson,SS,ATH,23.4,124,7,8,*0622t*
118,Leodalis De Vries,SS,ATH,18.8,100,-18,8,*067yc*
119,Luis Pena,SS,MIL,18.7,164,45,8,*06j3f*
120,Robbie Ray,P,SF,33.9,125,5,8,*025j1*
121,Dylan Cease,P,SD,29.6,126,5,8,*03df2*
122,Carlos Rodon,P,NYY,32.7,127,5,8,*02c2r*
123,Bryce Miller,P,SEA,27,128,5,8,*05vy6*
124,Jacob Misiorowski,P,MIL,23.4,129,5,8,*061yu*
125,Michael King,P,SD,30.2,77,-48,8,*041wv*
126,Brandon Woodruff,P,MIL,32.5,256,130,8,*02bu3*
127,Teoscar Hernandez,OF,LAD,32.8,89,-38,8,*02xic*
128,Matt Shaw,"2B,3B,SS",CHC,23.8,103,-25,8,*063vu*
129,Sandy Alcantara,P,MIA,29.9,117,-12,8,*03btv*
130,Jesus Luzardo,P,PHI,27.9,118,-12,8,*041r1*
131,Mike Trout,OF,LAA,34,162,31,8,*01s8u*
