Ranking,Player,Position,Team,Age,Prev Rank,Movement,Signed,ETA,In-Person Look,Tier,Player ID
1,Konnor Griffin,SS,PIT,19.3,2,1,2024,2027,Y,1,*05u3u*
2,Kevin McGonigle,"2B,SS",DET,21,3,1,2023,2026,Y,1,*05yby*
3,Sebastian Walcott,"3B,SS",TEX,19.4,5,2,2023,2026,Y,1,*0662o*
4,Jesus Made,SS,MIL,18.3,6,2,2024,2028,Y,2,*06ibv*
5,Samuel Basallo,"C,1B",BAL,21,10,5,2021,2025,Y,2,*05rbv*
6,JJ Wetherholt,SS,STL,22.9,13,7,2024,2025,Y,2,*06aw3*
7,Zyhir Hope,OF,LAD,20.6,7,0,2023,2026,Y,2,*06eyu*
8,Max Clark,OF,DET,20.6,11,3,2023,2026,Y,2,*05u9y*
9,Josue De Paula,OF,LAD,20.2,12,3,2022,2026,Y,2,*061zv*
10,Chase Burns,P,CIN,22.6,14,4,2024,Debuted,,2,*05rb3*
11,Leodalis De Vries,SS,ATH,18.8,8,-3,2024,2026,Y,2,*067yc*
12,Luis Pena,SS,MIL,18.7,17,5,2024,2028,Y,2,*06j3f*
13,Bryce Eldridge,1B,SF,20.8,20,7,2023,2025,Y,3,*05u96*
14,Josue Briceno,"C,1B",DET,20.9,19,5,2023,2026,Y,3,*0637j*
15,Bubba Chandler,P,PIT,22.9,24,9,2021,2025,Y,3,*05rik*
16,Andrew Painter,P,PHI,22.3,25,9,2021,2025,Y,3,*05r3i*
17,Walker Jenkins,OF,MIN,20.5,27,10,2023,2026,Y,3,*05u3v*
18,Eduardo Quintero,OF,LAD,19.9,18,0,2023,2027,,3,*06c79*
19,Bryce Rainer,SS,DET,20.1,21,2,2024,2027,Y,3,*05yai*
20,Luke Keaschall,2B,MIN,23,28,8,2023,Debuted,Y,4,*05zh9*
21,Travis Bazzana,2B,CLE,23,23,2,2024,2025,,4,*05zde*
22,Lazaro Montes,OF,SEA,20.8,33,11,2022,2026,Y,4,*05rfc*
23,Angel Genao,SS,CLE,21.2,34,11,2021,2026,Y,4,*05r5e*
24,Kade Anderson,P,SEA,21.1,NR,NA,2025,2026,,4,*05ydp*
