Ranking,Tier,Player ID,Player,Position,Team,Age,Previous,Movement
1,1,*04lgp*,Bobby Witt Jr.,SS,KC,24.2,1,0
2,1,*050w9*,Gunnar Henderson,"3B,SS",BAL,23.1,2,0
3,1,*02yc4*,Shohei Ohtani,"UT,P",LAD,30.1,3,0
4,1,*03ynj*,Juan Soto,OF,NYY,25.8,4,0
5,1,*05udp*,Elly De La Cruz,"3B,SS",CIN,22.6,9,4
6,2,*03pir*,Kyle Tucker,OF,HOU,27.6,5,-1
7,2,*02z0s*,Aaron Judge,OF,NYY,32.3,7,0
8,2,*030uc*,Rafael Devers,3B,BOS,27.8,10,2
9,2,*01ub6*,Jose Ramirez,3B,CLE,31.9,11,2
10,2,*01fh9*,Bryce Harper,1B,PHI,31.8,12,2
11,2,*04355*,Yordan Alvarez,OF,HOU,27.2,14,3
12,2,*03ojr*,Vladimir Guerrero Jr.,1B,TOR,25.4,17,5
13,3,*03wha*,Ronald Acuna Jr.,OF,ATL,26.7,13,0
14,3,*02btf*,Mookie Betts,"2B,SS,OF",LAD,31.9,8,-6
15,3,*05m1e*,Jackson Chourio,OF,MIL,20.3,22,7
16,3,*02mw6*,Corey Seager,SS,TEX,30.3,18,2
17,3,*03zbh*,Fernando Tatis Jr.,OF,SD,25.6,15,-2
18,3,*04fhb*,Julio Rodriguez,OF,SEA,23.6,6,-12
19,3,*03pom*,Austin Riley,3B,ATL,27.4,16,-3
20,3,*02611*,Francisco Lindor,SS,NYM,30.8,19,-1
21,3,*04ptt*,Tarik Skubal,P,DET,27.8,26,5
22,3,*05wru*,Paul Skenes,P,PIT,22.2,27,5
23,4,*04y4e*,Corbin Carroll,OF,ARI,24,31,8
24,4,*04nb2*,Riley Greene,OF,DET,23.9,36,12
25,4,*04pst*,Jarren Duran,OF,BOS,28,66,41
26,4,*041rd*,Corbin Burnes,P,BAL,29.8,29,3
27,4,*05rat*,James Wood,OF,WSH,21.9,30,3
28,4,*041pz*,Pete Alonso,1B,NYM,29.7,33,5
29,5,*05xch*,Junior Caminero,3B,TB,21.1,36,7
30,5,*03cag*,Kyle Schwarber,OF,PHI,31.5,82,52
31,5,*0326s*,Ketel Marte,2B,ARI,30.9,53,22
32,5,*02c68*,Trea Turner,SS,PHI,31.1,24,-8
33,5,*060pm*,Wyatt Langford,OF,TEX,22.8,20,-13
34,5,*01sb3*,Zack Wheeler,P,PHI,34.2,39,5
35,5,*02btx*,Tyler Glasnow,P,LAD,31,28,-7
36,5,*041ma*,Cole Ragans,P,KC,26.7,34,-2
37,5,*04yie*,George Kirby,P,SEA,26.5,48,11
38,5,*04n0m*,Logan Gilbert,P,SEA,27.3,41,3
39,5,*05h2u*,Jared Jones,P,PIT,23,44,5
40,5,*04aea*,Hunter Greene,P,CIN,25,93,53
41,5,*03nuc*,Luis Castillo,P,SEA,31.7,37,-4
42,5,*05js5*,Coby Mayo,3B,BAL,22.7,35,-7
43,5,*05ybv*,Jackson Holliday,"2B,SS",BAL,20.7,51,8
44,5,*02mwm*,Matt Olson,1B,ATL,30.4,25,-19
45,5,*01cgo*,Freddie Freeman,1B,LAD,34.9,21,-24
46,5,*04qk8*,CJ Abrams,SS,WSH,23.9,23,-23
47,5,*03e5m*,Bryan Reynolds,OF,PIT,29.6,45,-2
48,5,*047l7*,Luis Robert Jr.,OF,CHW,27,32,-16
49,6,*024m0*,Jose Altuve,2B,HOU,34.3,50,1
50,6,*04aeb*,Royce Lewis,3B,MIN,25.2,52,2
51,6,*045qo*,Jazz Chisholm Jr.,OF,NYY,26.6,60,9
52,6,*04pko*,Grayson Rodriguez,P,BAL,24.8,43,-9
53,6,*03yrz*,William Contreras,C,MIL,26.7,55,2
54,6,*04q2n*,Adley Rutschman,C,BAL,26.5,56,2
55,6,*03zlh*,Oneil Cruz,SS,PIT,25.9,57,2
56,6,*041qo*,Zac Gallen,P,ARI,29.1,58,2
57,6,*04e2u*,Brent Rooker,OF,OAK,29.8,255,198
58,6,*0512v*,Michael Harris II,OF,ATL,23.5,59,1
59,6,*02bqr*,Blake Snell,P,SF,31.7,144,85
60,6,*03dbm*,Logan Webb,P,SF,27.8,61,1
61,6,*01spo*,Gerrit Cole,P,NYY,34,62,1
62,6,*04ps7*,Joe Ryan,P,MIN,28.2,63,1
63,6,*05r8n*,Yoshinobu Yamamoto,P,LAD,26,38,-25
64,6,*042sz*,Will Smith,C,LAD,29.4,64,0
65,6,*03fi0*,Ozzie Albies,2B,ATL,27.6,65,0
66,6,*025dn*,Christian Yelich,OF,MIL,32.7,47,-19
67,7,*043f9*,Pablo Lopez,P,MIN,28.5,79,12
68,7,*04de1*,Triston Casas,1B,BOS,24.6,67,-1
69,7,*03df2*,Dylan Cease,P,SD,28.6,75,6
70,7,*01usi*,Marcell Ozuna,UT,ATL,33.8,69,-1
71,7,*05ua7*,Jackson Merrill,"SS,OF",SD,21.3,59,-12
72,7,*03pjd*,Josh Naylor,1B,CLE,27.2,71,-1
73,7,*02i2j*,Max Fried,P,ATL,30.6,40,-33
74,7,*02mw3*,Christian Walker,1B,ARI,33.4,68,-6
75,7,*040b5*,Randy Arozarena,OF,SEA,29.5,74,-1
76,7,*01uca*,Chris Sale,P,ATL,35.4,76,0
77,7,*03dc4*,Freddy Peralta,P,MIL,28.2,42,-35
78,7,*04auj*,Framber Valdez,P,HOU,30.8,91,13
79,7,*01svq*,Manny Machado,3B,SD,32.1,77,-2
80,7,*0512e*,Spencer Steer,"1B,2B,3B,OF",CIN,26.7,78,-2
81,7,*02i3o*,Aaron Nola,P,PHI,31.2,70,-11
82,7,*04qnc*,Francisco Alvarez,C,NYM,22.8,80,-2
83,7,*05184*,Vinnie Pasquantino,1B,KC,26.9,81,-2
84,7,*050c3*,Jasson Dominguez,OF,NYY,21.5,87,3
85,8,*05u9z*,Roman Anthony,OF,BOS,20.3,83,-2
86,8,*04b02*,Seiya Suzuki,OF,CHC,30,84,-2
87,8,*06alk*,Charlie Condon,1B,COL,21.4,NR,NA
88,8,*05gsc*,Jordan Westburg,"2B,3B",BAL,25.5,72,-16
89,8,*04mn5*,Alec Bohm,"1B,3B",PHI,28,86,-3
90,8,*05u3v*,Walker Jenkins,OF,MIN,19.5,101,11
91,8,*05zde*,Travis Bazzana,"2B,SS",CLE,22,NR,NA
92,8,*05ajh*,Garrett Crochet,P,CHW,25.2,54,-38
93,8,*05mre*,Spencer Strider,P,ATL,25.8,89,-4
94,8,*05aoc*,Eury Perez,P,MIA,21.3,90,-4
95,8,*041ps*,Nick Lodolo,P,CIN,26.5,110,15
96,8,*0425t*,Bailey Ober,P,MIN,29.1,94,-2
97,8,*05ge9*,Shota Imanaga,P,CHC,31,73,-24
98,8,*041qb*,Bo Bichette,SS,TOR,26.5,92,-6
99,8,*04pr8*,Taj Bradley,P,TB,23.4,111,12
100,8,*04y9p*,Anthony Volpe,SS,NYY,23.3,106,6
101,8,*05y23*,Tanner Bibee,P,CLE,25.5,95,-6
102,8,*03btv*,Sandy Alcantara,P,MIA,29,112,10
103,8,*04mlt*,Shane McClanahan,P,TB,27.3,113,10
104,8,*04y44*,Josh Jung,3B,TEX,26.5,96,-8
105,8,*05jrh*,Colt Keith,"2B,3B",DET,23,129,24
106,8,*05xu5*,Zach Neto,SS,LAA,23.6,107,1
107,8,*02bu9*,Marcus Semien,2B,TEX,33.9,98,-9
108,8,*025gb*,Xander Bogaerts,"2B,SS",SD,31.9,123,15
109,8,*03deg*,Justin Steele,P,CHC,29.1,100,-9
110,8,*02bq2*,Brandon Nimmo,OF,NYM,31.4,102,-8
111,8,*02w16*,Anthony Santander,"1B,OF",BAL,29.8,192,81
112,8,*0596e*,Dylan Crews,OF,WSH,22.2,125,13
113,8,*04071*,Isaac Paredes,"1B,2B,3B",CHC,25.5,99,-14
114,8,*04pr1*,Steven Kwan,OF,CLE,27,103,-11
115,9,*0512m*,Ryan Pepiot,P,TB,27,104,-11
116,9,*0513l*,Brenton Doyle,OF,COL,26.3,178,62
117,9,*04pks*,Matt McLain,"2B,SS",CIN,25,97,-20
118,9,*02xic*,Teoscar Hernandez,OF,LAD,31.9,108,-10
119,9,*03120*,Cody Bellinger,"1B,OF",CHC,29.1,124,5
120,9,*05ras*,Colton Cowser,OF,BAL,24.4,140,20
121,9,*04yig*,Brooks Lee,"3B,SS",MIN,23.5,214,93
122,9,*02hi7*,Kevin Gausman,P,TOR,33.6,109,-13
123,9,*01s8u*,Mike Trout,OF,LAA,33,85,-38
124,9,*03d6w*,Jack Flaherty,P,LAD,28.9,205,81
125,9,*02yk4*,Tyler O'Neill,OF,BOS,29.2,177,52
126,9,*04cwf*,Shane Baz,P,TB,25.2,128,2
127,9,*05tq1*,Spencer Schwellenbach,P,ATL,24.2,206,79
128,9,*05vy6*,Bryce Miller,P,SEA,26,114,-14
129,9,*05uc7*,Noah Schultz,P,CHW,21,115,-14
130,9,*05jp7*,Gavin Williams,P,CLE,25.1,116,-14
131,9,*04q56*,Logan O'Hoppe,C,LAA,24.5,118,-13
132,9,*05gwy*,Masyn Winn,SS,STL,22.4,119,-13
133,9,*0513c*,Joey Ortiz,"2B,3B",MIL,26.1,120,-13
134,9,*05rb0*,Jackson Jobe,P,DET,22.1,145,11
135,9,*054p6*,Emmanuel Rodriguez,OF,MIN,21.5,132,-3
136,9,*05gwz*,Bobby Miller,P,LAD,25.4,105,-31
137,9,*05rbv*,Samuel Basallo,C,BAL,20,126,-11
138,9,*063vu*,Matt Shaw,2B,CHC,22.8,127,-11
139,9,*067yc*,Leodalis De Vries,SS,SD,17.9,302,163
140,9,*06aw3*,JJ Wetherholt,3B,STL,21.9,140,0
141,10,*04s1h*,Luis Gil,P,NYY,26.2,156,15
142,10,*02i2q*,Carlos Correa,SS,MIN,29.9,138,-4
143,10,*0662o*,Sebastian Walcott,SS,TEX,18.4,286,143
144,10,*03atq*,Willy Adames,SS,MIL,29,149,5
145,10,*0260v*,Sonny Gray,P,STL,34.8,133,-12
146,10,*05y62*,Bryan Woo,P,SEA,24.6,152,6
147,10,*03djk*,Tanner Houck,P,BOS,28.1,135,-12
148,10,*03d6s*,Matt Chapman,3B,SF,31.1,155,-2
149,10,*05t9n*,Carson Williams,SS,TB,21.2,139,-10
