Ranking,Player,Position,Team,Age,Previous,Movement,Tier,Player ID
1,Shohei Ohtani,"UT,P",LAD,31.3,1,0,1,*02yc4*
2,Juan Soto,OF,NYM,27,3,1,2,*03ynj*
3,Bobby Witt Jr.,SS,KC,25.3,2,-1,2,*04lgp*
4,Elly De La Cruz,SS,CIN,23.7,4,0,3,*05udp*
5,Corbin Carroll,OF,ARI,25.1,7,2,3,*04y4e*
6,Ronald Acuna Jr.,OF,ATL,27.8,9,3,3,*03wha*
7,Aaron Judge,OF,NYY,33.5,6,-1,3,*02z0s*
8,Kyle Tucker,OF,CHC,28.7,5,-3,3,*03pir*
9,Tarik Skubal,P,DET,28.9,8,-1,3,*04ptt*
10,Julio Rodriguez,OF,SEA,24.8,11,1,3,*04fhb*
11,Jackson Chourio,OF,MIL,21.4,12,1,3,*05m1e*
12,Fernando Tatis Jr.,OF,SD,26.8,13,1,3,*03zbh*
13,Francisco Lindor,SS,NYM,31.9,14,1,4,*02611*
14,Jose Ramirez,3B,CLE,33.1,16,2,4,*01ub6*
15,Junior Caminero,3B,TB,22.3,17,2,4,*05xch*
16,Jazz Chisholm Jr.,"2B,3B,OF",NYY,27.7,18,2,4,*045qo*
17,Paul Skenes,P,PIT,23.4,19,2,4,*05wru*
18,Garrett Crochet,P,BOS,26.3,20,2,4,*05ajh*
19,Hunter Brown,P,HOU,27.1,21,2,4,*05144*
20,Zach Neto,SS,LAA,24.7,22,2,5,*05xu5*
21,James Wood,OF,WSH,23.1,10,-11,5,*05rat*
22,Nick Kurtz,1B,ATH,22.6,28,6,5,*062k5*
23,Pete Alonso,1B,NYM,30.8,24,1,5,*041pz*
24,Gunnar Henderson,SS,BAL,24.3,15,-9,5,*050w9*
25,Trea Turner,SS,PHI,32.3,26,1,5,*02c68*
26,Ketel Marte,2B,ARI,32,27,1,5,*0326s*
27,Bryce Harper,1B,PHI,33,29,2,5,*01fh9*
28,Yordan Alvarez,OF,HOU,28.3,30,2,5,*04355*
29,Roman Anthony,OF,BOS,21.4,31,2,5,*05u9z*
30,Kyle Schwarber,OF,PHI,32.6,32,2,5,*03cag*
31,Konnor Griffin,SS,PIT,19.4,47,16,5,*05u3u*
32,Kevin McGonigle,"2B,SS",DET,21.1,48,16,5,*05yby*
33,Wyatt Langford,OF,TEX,23.9,23,-10,5,*060pm*
34,Riley Greene,OF,DET,25,33,-1,5,*04nb2*
35,Bryan Woo,P,SEA,25.7,42,7,6,*05y62*
36,Yoshinobu Yamamoto,P,LAD,27.1,35,-1,6,*05r8n*
37,Matt Olson,1B,ATL,31.5,37,0,6,*02mwm*
38,Manny Machado,3B,SD,33.3,34,-4,6,*01svq*
39,Rafael Devers,"1B,3B",SF,29,38,-1,6,*030uc*
40,Vladimir Guerrero Jr.,"1B,3B",TOR,26.6,25,-15,6,*03ojr*
41,Cal Raleigh,C,SEA,28.9,40,-1,6,*04my4*
42,Freddy Peralta,P,MIL,29.3,41,-1,6,*03dc4*
43,Cristopher Sanchez,P,PHI,28.8,58,15,6,*052c8*
44,Jackson Merrill,OF,SD,22.5,49,5,6,*05ua7*
45,Josh Naylor,1B,SEA,28.3,60,15,6,*03pjd*
46,Logan Gilbert,P,SEA,28.4,45,-1,6,*04n0m*
47,Eury Perez,P,MIA,22.5,46,-1,6,*05aoc*
48,Cole Ragans,P,KC,27.8,87,39,6,*041ma*
49,CJ Abrams,SS,WSH,25,36,-13,7,*04qk8*
50,Mookie Betts,"2B,SS,OF",LAD,33,50,0,7,*02btf*
51,Corey Seager,SS,TEX,31.4,51,0,7,*02mw6*
52,Cody Bellinger,"1B,OF",NYY,30.2,52,0,7,*03120*
53,Logan Webb,P,SF,28.9,54,1,7,*03dbm*
54,Hunter Greene,P,CIN,26.2,55,1,7,*04aea*
55,Austin Riley,3B,ATL,28.5,56,1,7,*03pom*
56,Chase Burns,P,CIN,22.7,75,19,7,*05rb3*
57,Oneil Cruz,"SS,OF",PIT,27,59,2,7,*03zlh*
58,Brent Rooker,OF,ATH,30.9,53,-5,7,*04e2u*
59,Christian Yelich,OF,MIL,33.8,61,2,7,*025dn*
60,William Contreras,C,MIL,27.8,62,2,7,*03yrz*
61,Jacob deGrom,P,TEX,37.3,63,2,7,*02hjp*
62,Spencer Strider,P,ATL,26.9,39,-23,7,*05mre*
63,Will Smith,C,LAD,30.5,64,1,7,*042sz*
64,Jesus Made,SS,MIL,18.4,82,18,7,*06ibv*
65,Alex Bregman,3B,BOS,31.5,44,-21,7,*02w7p*
66,Vinnie Pasquantino,1B,KC,28,65,-1,7,*05184*
67,Max Fried,P,NYY,31.7,66,-1,7,*02i2j*
68,Bo Bichette,SS,TOR,27.6,67,-1,7,*041qb*
69,Freddie Freeman,1B,LAD,36.1,68,-1,7,*01cgo*
70,Zack Wheeler,P,PHI,35.4,69,-1,8,*01sb3*
71,Joe Ryan,P,MIN,29.3,43,-28,8,*04ps7*
72,Spencer Schwellenbach,P,ATL,25.4,71,-1,8,*05tq1*
73,Pete Crow-Armstrong,OF,CHC,23.5,74,1,8,*051wv*
74,Geraldo Perdomo,SS,ARI,26,93,19,8,*04pbq*
75,Brice Turang,2B,MIL,25.9,95,20,8,*04b00*
76,Willy Adames,SS,SF,30.1,89,13,8,*03atq*
77,Pablo Lopez,P,MIN,29.6,76,-1,8,*043f9*
78,George Kirby,P,SEA,27.7,78,0,8,*04yie*
79,Randy Arozarena,OF,SEA,30.6,79,0,8,*040b5*
80,Tyler Soderstrom,"1B,OF",ATH,23.9,72,-8,8,*05gtn*
81,JJ Wetherholt,SS,STL,23.1,81,0,8,*06aw3*
82,Sebastian Walcott,"3B,SS",TEX,19.6,90,8,8,*0662o*
83,Jarren Duran,OF,BOS,29.1,83,0,8,*04pst*
84,Jeremy Pena,SS,HOU,28,70,-14,8,*04ppj*
85,Jordan Westburg,"2B,3B",BAL,26.6,84,-1,8,*05gsc*
86,Samuel Basallo,"C,1B",BAL,21.1,80,-6,9,*05rbv*
87,Sandy Alcantara,P,MIA,30.1,128,41,9,*03btv*
88,Michael King,P,SD,30.4,125,37,9,*041wv*
89,Chris Sale,P,ATL,36.5,88,-1,9,*01uca*
90,Blake Snell,P,LAD,32.8,119,29,9,*02bqr*
91,Max Clark,OF,DET,20.8,98,7,9,*05u9y*
92,Hunter Goodman,"C,OF",COL,26,91,-1,9,*05u2v*
93,Framber Valdez,P,HOU,31.9,57,-36,9,*04auj*
94,Shota Imanaga,P,CHC,32.1,97,3,9,*05ge9*
95,Bubba Chandler,P,PIT,23.1,86,-9,9,*05rik*
96,Jesus Luzardo,P,PHI,28,118,22,9,*041r1*
97,Carlos Rodon,P,NYY,32.8,112,15,9,*02c2r*
98,Ryan Pepiot,P,TB,28.1,96,-2,9,*0512m*
99,Nick Pivetta,P,SD,32.6,77,-22,9,*0316j*
100,Josue De Paula,OF,LAD,20.4,114,14,9,*061zv*
101,Jose Altuve,"2B,OF",HOU,35.4,101,0,9,*024m0*
102,Byron Buxton,OF,MIN,31.8,102,0,9,*02i2k*
103,Drake Baldwin,C,ATL,24.5,116,13,9,*0630d*
104,Leodalis De Vries,SS,ATH,19,104,0,9,*067yc*
105,Luke Keaschall,2B,MIN,23.1,105,0,9,*05zh9*
106,Kyle Bradish,P,BAL,29.1,131,25,9,*04pq4*
107,Agustin Ramirez,"C,1B",MIA,24.1,92,-15,9,*04z6m*
108,Andy Pages,OF,LAD,24.8,108,0,9,*04ru5*
109,Ben Rice,"C,1B",NYY,26.6,109,0,9,*05yo5*
110,Kyle Stowers,OF,MIA,27.8,110,0,9,*04y97*
111,Mark Vientos,3B,NYM,25.8,111,0,9,*03zcy*
112,Bryce Eldridge,1B,SF,21,121,9,9,*05u96*
113,Maikel Garcia,"2B,3B,SS,OF",KC,25.6,94,-19,9,*05g3x*
114,Aidan Miller,SS,PHI,21.3,199,85,9,*05u36*
115,Jac Caglianone,"1B,OF",KC,22.7,115,0,9,*05u9q*
116,Ivan Herrera,C,STL,25.3,127,11,9,*04hyc*
117,Jackson Holliday,"2B,SS",BAL,21.8,126,9,9,*05ybv*
118,Michael Busch,1B,CHC,27.9,133,15,9,*04t9b*
119,Zyhir Hope,OF,LAD,20.7,100,-19,9,*06eyu*
120,MacKenzie Gore,P,WSH,26.6,106,-14,9,*04cd5*
121,Tyler Glasnow,P,LAD,32.1,120,-1,9,*02btx*
122,Cam Smith,"3B,OF",HOU,22.6,99,-23,9,*060jo*
123,Nolan McLean,"UT,SP",NYM,24.2,169,46,9,*05y7s*
124,Luis Robert Jr.,OF,CHW,28.2,123,-1,9,*047l7*
125,Jacob Misiorowski,P,MIL,23.5,129,4,9,*061yu*
126,Royce Lewis,3B,MIN,26.3,155,29,9,*04aeb*
127,Jacob Wilson,SS,ATH,23.5,117,-10,9,*0622t*
128,Ian Happ,OF,CHC,31.2,168,40,9,*03nmw*
129,Colt Emerson,SS,SEA,20.2,197,68,9,*060ub*
130,Walker Jenkins,OF,MIN,20.6,146,16,9,*05u3v*
131,Gavin Williams,P,CLE,26.2,173,42,10,*05jp7*
132,Mike Trout,OF,LAA,34.2,130,-2,10,*01s8u*
133,Carson Benge,OF,NYM,22.7,124,-9,10,*06aly*
134,Lawrence Butler,OF,ATH,25.2,162,28,10,*04prt*
135,Bryan Reynolds,OF,PIT,30.7,132,-3,10,*03e5m*
136,Matt Shaw,"2B,3B,SS",CHC,23.9,103,-33,10,*063vu*
137,Teoscar Hernandez,OF,LAD,33,113,-24,10,*02xic*
138,Brandon Lowe,"1B,2B",TB,31.3,134,-4,10,*03qjy*
139,Josue Briceno,"C,1B",DET,21,135,-4,10,*0637j*
140,Spencer Torkelson,1B,DET,26.1,136,-4,10,*04yk2*
141,Drew Rasmussen,P,TB,30.2,137,-4,10,*04eee*
142,Andrew Painter,P,PHI,22.5,107,-35,10,*05r3i*
143,Shane Bieber,P,TOR,30.4,138,-5,10,*041rf*
144,Dylan Cease,P,SD,29.8,139,-5,10,*03df2*
145,Roki Sasaki,P,LAD,24,152,7,10,*05gdz*
146,Trevor Story,SS,BOS,32.9,141,-5,10,*02bqh*
147,Marcelo Mayer,"2B,3B,SS",BOS,22.8,142,-5,10,*05r9j*
148,Payton Tolle,P,BOS,22.9,195,47,10,*06gwk*
149,Ezequiel Tovar,SS,COL,24.2,144,-5,10,*04mra*
