Ranking,Player,Position,Team,Age,Prev Rank,Movement,Signed,ETA,In-Person Look,Tier,Player ID
1,Konnor Griffin,SS,PIT,19.4,1,0,2024,2027,Y,1,*05u3u*
2,Kevin McGonigle,"2B,SS",DET,21.1,2,0,2023,2026,Y,1,*05yby*
3,Jesus Made,SS,MIL,18.4,3,0,2024,2028,Y,2,*06ibv*
4,Sebastian Walcott,"3B,SS",TEX,19.6,4,0,2023,2026,Y,2,*0662o*
5,Samuel Basallo,"C,1B",BAL,21.1,5,0,2021,Debuted,Y,2,*05rbv*
6,JJ Wetherholt,SS,STL,23.1,6,0,2024,2025,Y,2,*06aw3*
7,Max Clark,OF,DET,20.8,7,0,2023,2026,Y,2,*05u9y*
8,Josue De Paula,OF,LAD,20.4,8,0,2022,2026,Y,2,*061zv*
9,Leodalis De Vries,SS,ATH,19,9,0,2024,2026,Y,2,*067yc*
10,Aidan Miller,SS,PHI,21.3,26,16,2023,2026,Y,3,*05u36*
11,Bryce Eldridge,1B,SF,20.9,11,0,2023,Debuted,Y,3,*05u96*
12,Zyhir Hope,OF,LAD,20.7,10,-2,2023,2026,Y,3,*06eyu*
13,Nolan McLean,P,NYM,24.2,20,7,2023,Debuted,,3,*05y7s*
14,Bubba Chandler,P,PIT,23,13,-1,2021,Debuted,Y,3,*05rik*
15,Colt Emerson,SS,SEA,20.2,28,13,2023,2026,Y,3,*060ub*
16,Walker Jenkins,OF,MIN,20.6,16,0,2023,2026,Y,3,*05u3v*
17,Carson Benge,OF,NYM,22.7,15,-2,2024,2026,Y,3,*06aly*
18,Eduardo Quintero,OF,LAD,20,17,-1,2023,2027,,3,*06c79*
19,Josue Briceno,"C,1B",DET,21,12,-7,2023,2026,Y,3,*0637j*
20,Bryce Rainer,SS,DET,20.2,18,-2,2024,2027,Y,3,*05yai*
21,Andrew Painter,P,PHI,22.5,14,-7,2021,2025,Y,4,*05r3i*
22,Travis Bazzana,2B,CLE,23.1,21,-1,2024,2025,,4,*05zde*
23,Sal Stewart,"2B,3B",CIN,21.8,23,0,2022,Debuted,Y,4,*05u9o*
24,Thomas White,P,MIA,21,24,0,2023,2026,Y,4,*05tp6*
25,Kade Anderson,P,SEA,21.2,25,0,2025,2026,,4,*05ydp*
26,Payton Tolle,P,BOS,22.9,33,7,2024,Debuted,Y,4,*06gwk*
27,Edward Florentino,1B,PIT,18.9,29,2,2024,2028,Y,4,*06mh4*
28,Luis Pena,SS,MIL,18.9,19,-9,2024,2028,Y,4,*06j3f*
29,Lazaro Montes,OF,SEA,20.9,22,-7,2022,2026,Y,4,*05rfc*
30,Caleb Bonemer,SS,CHW,20,31,1,2024,2027,Y,4,*06hea*
31,Robby Snelling,P,MIA,21.8,34,3,2022,2025,,5,*061mh*
32,Michael Arroyo,2B,SEA,20.9,35,3,2022,2026,,5,*05yid*
33,Carter Jensen,C,KC,22.2,48,15,2021,Debuted,Y,5,*05vy5*
34,Eli Willits,SS,WSH,17.8,37,3,2025,2028,,5,*06n8y*
35,Jonah Tong,P,NYM,22.3,38,3,2022,Debuted,Y,5,*0658b*
36,Jett Williams,SS,NYM,21.9,39,3,2022,2025,Y,5,*060la*
37,Seth Hernandez,P,PIT,19.3,32,-5,2025,2028,,5,*067yn*
38,Jaxon Wiggins,P,CHC,24,40,2,2023,2026,Y,5,*05u2p*
39,Ryan Sloan,P,SEA,19.7,41,2,2024,2027,,5,*06ier*
40,Joshua Baez,OF,STL,22.3,72,32,2021,2026,,5,*05rcf*
41,Jordan Lawlar,"2B,SS",ARI,23.3,42,1,2021,Debuted,Y,5,*05r1m*
42,Braden Montgomery,OF,CHW,22.4,43,1,2024,2026,Y,5,*05rcg*
43,Jonny Farmelo,OF,SEA,21.1,44,1,2023,2026,,5,*066sx*
44,Tyson Lewis,SS,CIN,19.7,36,-8,2024,2027,,5,*06mnk*
45,Gavin Fien,3B,TEX,18.6,46,1,2025,2028,Y,5,*06qyu*
46,Aiva Arquette,SS,MIA,22,47,1,2025,2027,,5,*06pg6*
47,Moises Ballesteros,C,CHC,21.9,77,30,2020,Debuted,Y,5,*05rbs*
48,Rainiel Rodriguez,C,STL,18.7,57,9,2024,2027,,5,*06mnp*
49,Alfredo Duno,C,CIN,19.7,58,9,2023,2026,Y,5,*06626*
50,Jojo Parker,SS,TOR,19.1,49,-1,2025,2028,,5,*06se6*
51,Steele Hall,SS,CIN,18.2,50,-1,2025,2028,,5,*06rw2*
52,George Lombard Jr.,SS,NYY,20.3,51,-1,2023,2026,Y,5,*06b72*
53,Emmanuel Rodriguez,OF,MIN,22.6,52,-1,2019,2025,Y,5,*054p6*
54,Ryan Waldschmidt,OF,ARI,23,61,7,2024,2026,Y,5,*06dlz*
