Pos,Player,Team,Eligible,Status,Age
C,Salvador Perez,KC,C DH,Act,32
1B,Josh Bell,CLE,1B DH,Act,30
2B,Andres Gimenez,CLE,2B SS,Act,24
3B,Matt Chapman,TOR,3B,Act,29
SS,Xander Bogaerts,SD,SS,Act,30
CI,Nathaniel Lowe,TEX,1B,Act,27
MI,Dansby Swanson,CHC,SS,Act,29
LF,Jake McCarthy,ARI,LF CF RF DH,Act,25
CF,Michael Harris,ATL,CF,Act,22
RF,Adolis Garcia,TEX,CF RF DH,Act,30
DH,Oscar Gonzalez,CLE,RF DH,Act,25
UT,Keibert Ruiz,WSH,C,Act,24
CF,Harrison Bader,NYY,CF,Res,28
C,Henry Davis,PIT,C,Min,23
2B,Curtis Mead,TB,2B 3B,Min,22
3B,Deyvison De Los Santos,ARI,3B,Min,19
SS,Enmanuel Valdez,BOS,2B 3B,Min,24
SS,Maikol Hernandez,BAL,SS,Min,19
SS,Braden Shewmake,ATL,SS,Min,25
SS,Masyn Winn,STL,SS,Min,20
LF,Hunter Bishop,SF,LF CF,Min,24
LF,Esteury Ruiz,OAK,LF,Min,24
LF,Joey Wiemer,MIL,LF CF RF,Min,24
LF,Pete Crow-Armstrong,CHC,LF CF RF,Min,20
CF,Sal Frelick,MIL,CF,Min,22
CF,Alejandro Osuna,TEX,CF,Min,20
CF,Kristian Robinson,ARI,CF,Min,22
CF,Khalil Lee,NYM,CF,Min,24
SP,Alex Cobb,SF,SP,Act,35
SP,Yu Darvish,SD,SP,Act,36
SP,Dustin May,LAD,SP,Act,25
SP,Charlie Morton,ATL,SP,Act,39
SP,Blake Snell,SD,SP,Act,30
RP,Roansy Contreras,PIT,SP RP,Act,23
RP,Kendall Graveman,CHW,RP,Act,32
RP,Devin Williams,MIL,RP,Act,28
SP,Mike Soroka,ATL,SP,Res,25
RP,Rafael Montero,HOU,RP,Res,32
SP,Ryne Nelson,ARI,SP,Min,25
RP,Reese Olson,DET,SP,Min,23
SP,Jared Shuster,ATL,SP,Min,24
SP,Hayden Wesneski,CHC,SP,Min,25
SP,Freddy Tarnok,OAK,RP,Min,24
RP,Gavin Williams,CLE,RP,Min,23
