Ranking,Tier,Player ID,Player,Position,Team,Age
1,1,*04lgp*,Bobby Witt Jr.,SS,KC,24.7
2,1,*02yc4*,Shohei Ohtani,UT,LAD,30.6
3,1,*03ynj*,Juan Soto,OF,NYM,26.3
4,2,*050w9*,Gunnar Henderson,SS,BAL,23.6
5,2,*03pir*,Kyle Tucker,OF,CHC,28.1
6,2,*05udp*,Elly De La Cruz,"3B,SS",CIN,23.1
7,2,*02z0s*,Aaron Judge,OF,NYY,32.8
8,2,*03wha*,Ronald Acuna Jr.,OF,ATL,27.2
9,2,*04fhb*,Julio Rodriguez,OF,SEA,24.1
10,2,*05m1e*,Jackson Chourio,OF,MIL,20.8
11,2,*02611*,Francisco Lindor,SS,NYM,31.2
12,2,*03ojr*,Vladimir Guerrero Jr.,1B,TOR,25.9
13,3,*01ub6*,Jose Ramirez,3B,CLE,32.4
14,3,*03zbh*,Fernando Tatis Jr.,OF,SD,26.1
15,3,*04y4e*,Corbin Carroll,OF,ARI,24.5
16,3,*060pm*,Wyatt Langford,OF,TEX,23.2
17,3,*04355*,Yordan Alvarez,OF,HOU,27.6
18,3,*01fh9*,Bryce Harper,1B,PHI,32.3
19,3,*04ptt*,Tarik Skubal,P,DET,28.2
20,3,*05wru*,Paul Skenes,P,PIT,22.7
21,3,*02btf*,Mookie Betts,"2B,SS,OF",LAD,32.4
22,3,*05rat*,James Wood,OF,WSH,22.4
23,4,*04pst*,Jarren Duran,OF,BOS,28.4
24,4,*030uc*,Rafael Devers,3B,BOS,28.3
25,4,*03pom*,Austin Riley,3B,ATL,27.9
26,4,*0326s*,Ketel Marte,2B,ARI,31.3
27,4,*05ua7*,Jackson Merrill,OF,SD,21.8
28,4,*02mw6*,Corey Seager,SS,TEX,30.8
29,4,*02mwm*,Matt Olson,1B,ATL,30.9
30,5,*04n0m*,Logan Gilbert,P,SEA,27.8
31,5,*041ma*,Cole Ragans,P,KC,27.2
32,5,*04yie*,George Kirby,P,SEA,27
33,5,*01sb3*,Zack Wheeler,P,PHI,34.7
34,5,*03zlh*,Oneil Cruz,"SS,OF",PIT,26.4
35,5,*02c68*,Trea Turner,SS,PHI,31.6
36,5,*041pz*,Pete Alonso,1B,(N/A),30.2
37,5,*05xch*,Junior Caminero,3B,TB,21.6
38,5,*045qo*,Jazz Chisholm Jr.,"3B,OF",NYY,27
39,5,*04nb2*,Riley Greene,OF,DET,24.4
40,6,*041rd*,Corbin Burnes,P,ARI,30.3
41,6,*0512v*,Michael Harris II,OF,ATL,23.9
42,6,*03cag*,Kyle Schwarber,OF,PHI,31.9
43,6,*01cgo*,Freddie Freeman,1B,LAD,35.4
44,6,*05ajh*,Garrett Crochet,P,BOS,25.6
45,6,*02bqr*,Blake Snell,P,LAD,32.2
46,6,*03df2*,Dylan Cease,P,SD,29.1
47,6,*03fi0*,Ozzie Albies,2B,ATL,28.1
48,6,*04qk8*,CJ Abrams,SS,WSH,24.4
49,6,*04aeb*,Royce Lewis,"3B,SS",MIN,25.7
50,6,*01svq*,Manny Machado,3B,SD,32.6
51,7,*05gdz*,Roki Sasaki,P,LAD,23.4
52,7,*05mre*,Spencer Strider,P,ATL,26.3
53,7,*01spo*,Gerrit Cole,P,NYY,34.4
54,7,*05u9z*,Roman Anthony,OF,BOS,20.7
55,7,*03yrz*,William Contreras,C,MIL,27.1
56,7,*05r8n*,Yoshinobu Yamamoto,P,LAD,26.5
57,7,*05aoc*,Eury Perez,P,MIA,21.8
