Ranking,Player,Position,Team,Age,Previous,Movement,Tier,Player ID
1,Shohei Ohtani,"UT,P",LAD,31.6,1,0,1,*02yc4*
2,Juan Soto,OF,NYM,27.2,2,0,2,*03ynj*
3,Bobby Witt Jr.,SS,KC,25.6,3,0,2,*04lgp*
4,Elly De La Cruz,SS,CIN,24,4,0,3,*05udp*
5,Corbin Carroll,OF,ARI,25.4,5,0,3,*04y4e*
6,Aaron Judge,OF,NYY,33.7,7,1,3,*02z0s*
7,Ronald Acuna Jr.,OF,ATL,28.1,6,-1,3,*03wha*
8,Tarik Skubal,P,DET,29.2,9,1,3,*04ptt*
9,Paul Skenes,P,PIT,23.6,17,8,3,*05wru*
10,Julio Rodriguez,OF,SEA,25.1,10,0,3,*04fhb*
11,Jackson Chourio,OF,MIL,21.7,11,0,3,*05m1e*
12,Fernando Tatis Jr.,OF,SD,27.1,12,0,3,*03zbh*
13,Jose Ramirez,3B,CLE,33.4,14,1,4,*01ub6*
14,Vladimir Guerrero Jr.,1B,TOR,26.9,35,21,4,*03ojr*
15,Junior Caminero,3B,TB,22.5,15,0,4,*05xch*
16,Jazz Chisholm Jr.,"2B,3B",NYY,28,16,0,4,*045qo*
17,Kyle Tucker,OF,(N/A),29,8,-9,4,*03pir*
18,Garrett Crochet,P,BOS,26.6,18,0,4,*05ajh*
19,Hunter Brown,P,HOU,27.4,19,0,4,*05144*
20,Francisco Lindor,SS,NYM,32.2,13,-7,5,*02611*
21,Zach Neto,SS,LAA,25,20,-1,5,*05xu5*
22,Nick Kurtz,1B,ATH,22.9,22,0,5,*062k5*
23,Roman Anthony,OF,BOS,21.7,29,6,5,*05u9z*
24,Gunnar Henderson,SS,BAL,24.6,24,0,5,*050w9*
25,Trea Turner,SS,PHI,32.6,25,0,5,*02c68*
26,Ketel Marte,2B,ARI,32.3,26,0,5,*0326s*
27,Konnor Griffin,SS,PIT,19.7,31,4,5,*05u3u*
28,Yordan Alvarez,OF,HOU,28.6,28,0,5,*04355*
29,Kyle Schwarber,UT,PHI,32.9,30,1,5,*03cag*
30,Kevin McGonigle,SS,DET,21.4,32,2,5,*05yby*
31,James Wood,OF,WSH,23.3,21,-10,5,*05rat*
32,Yoshinobu Yamamoto,P,LAD,27.4,36,4,6,*05r8n*
33,Logan Gilbert,P,SEA,28.7,46,13,6,*04n0m*
34,Bryce Harper,1B,PHI,33.3,27,-7,6,*01fh9*
35,Pete Alonso,1B,BAL,31.1,23,-12,6,*041pz*
36,Matt Olson,1B,ATL,31.8,37,1,6,*02mwm*
37,Manny Machado,3B,SD,33.6,38,1,6,*01svq*
38,Rafael Devers,1B,SF,29.2,39,1,6,*030uc*
39,Wyatt Langford,OF,TEX,24.2,33,-6,6,*060pm*
40,Cal Raleigh,C,SEA,29.2,41,1,6,*04my4*
41,Jackson Merrill,OF,SD,22.8,44,3,6,*05ua7*
42,Bryan Woo,P,SEA,26,35,-7,6,*05y62*
43,Cristopher Sanchez,P,PHI,29.1,43,0,6,*052c8*
44,Riley Greene,OF,DET,25.3,34,-10,6,*04nb2*
45,Brent Rooker,"OF,UT",ATH,31.2,58,13,6,*04e2u*
46,Eury Perez,P,MIA,22.8,47,1,6,*05aoc*
47,Cole Ragans,P,KC,28.1,48,1,6,*041ma*
48,CJ Abrams,SS,WSH,25.3,49,1,7,*04qk8*
49,Mookie Betts,SS,LAD,33.3,50,1,7,*02btf*
50,Corey Seager,SS,TEX,31.7,51,1,7,*02mw6*
51,Cody Bellinger,OF,(N/A),30.5,52,1,7,*03120*
52,Logan Webb,P,SF,29.2,53,1,7,*03dbm*
53,Hunter Greene,P,CIN,26.5,54,1,7,*04aea*
54,Freddy Peralta,P,MIL,29.6,42,-12,7,*03dc4*
55,Austin Riley,3B,ATL,28.8,55,0,7,*03pom*
56,Chase Burns,P,CIN,23,56,0,7,*05rb3*
57,William Contreras,C,MIL,28.1,60,3,7,*03yrz*
58,Jacob deGrom,P,TEX,37.6,61,3,7,*02hjp*
59,Spencer Strider,P,ATL,27.2,62,3,7,*05mre*
60,Will Smith,C,LAD,30.8,63,3,7,*042sz*
61,Jesus Made,SS,MIL,18.7,64,3,7,*06ibv*
62,Vinnie Pasquantino,1B,KC,28.3,66,4,7,*05184*
63,Joe Ryan,P,MIN,29.6,71,8,8,*04ps7*
64,Spencer Schwellenbach,P,ATL,25.6,72,8,8,*05tq1*
65,Pete Crow-Armstrong,OF,CHC,23.5,73,8,8,*051wv*
66,Josh Naylor,1B,SEA,28.6,45,-21,8,*03pjd*
67,Ben Rice,"C,1B",NYY,26.9,109,42,8,*05yo5*
68,Geraldo Perdomo,SS,ARI,26.3,74,6,8,*04pbq*
69,Brice Turang,2B,MIL,26.2,75,6,8,*04b00*
70,Willy Adames,SS,SF,30.4,76,6,8,*03atq*
71,Oneil Cruz,OF,PIT,27.3,57,-14,8,*03zlh*
72,George Kirby,P,SEA,28,78,6,8,*04yie*
73,Randy Arozarena,OF,SEA,30.9,79,6,8,*040b5*
74,Freddie Freeman,1B,LAD,36.4,69,-5,8,*01cgo*
75,Tyler Soderstrom,"1B,OF",ATH,24.2,80,5,8,*05gtn*
76,JJ Wetherholt,"2B,SS",STL,23.4,81,5,8,*06aw3*
77,Sebastian Walcott,SS,TEX,19.9,82,5,8,*0662o*
78,Jarren Duran,OF,BOS,29.4,83,5,8,*04pst*
79,Jeremy Pena,SS,HOU,28.3,84,5,8,*04ppj*
80,Jordan Westburg,"2B,3B",BAL,26.9,85,5,9,*05gsc*
81,Michael Busch,1B,CHC,28.2,118,37,9,*04t9b*
82,Samuel Basallo,C,BAL,21.4,86,4,9,*05rbv*
83,Framber Valdez,P,(N/A),32.2,93,10,9,*04auj*
84,Sandy Alcantara,P,MIA,30.4,87,3,9,*03btv*
