Ranking,Player,Position,Team,Age,Prev Rank,Movement,Signed,ETA,In-Person Look,Tier,Player ID
1,Konnor Griffin,SS,PIT,19.8,1,0,2024,2027,Y,1,*05u3u*
2,Kevin McGonigle,SS,DET,21.4,2,0,2023,2026,Y,1,*05yby*
3,Jesus Made,SS,MIL,18.7,3,0,2024,2028,Y,2,*06ibv*
4,Sebastian Walcott,SS,TEX,19.9,4,0,2023,2026,Y,2,*0662o*
5,JJ Wetherholt,"2B,SS",STL,23.4,6,1,2024,2025,Y,2,*06aw3*
6,Samuel Basallo,C,BAL,21.5,5,-1,2021,Debuted,Y,2,*05rbv*
7,Max Clark,OF,DET,21.1,7,0,2023,2026,Y,2,*05u9y*
8,Leodalis De Vries,SS,ATH,19.3,9,1,2024,2026,Y,2,*067yc*
9,Aidan Miller,SS,PHI,21.6,10,1,2023,2026,Y,3,*05u36*
10,Trey Yesavage,P,TOR,22.5,51,41,2024,Debuted,Y,3,*06apx*
11,Bryce Eldridge,UT,SF,21.3,11,0,2023,Debuted,Y,3,*05u96*
12,Eduardo Quintero,OF,LAD,20.4,18,6,2023,2027,,3,*06c79*
13,Nolan McLean,P,NYM,24.5,13,0,2023,Debuted,,3,*05y7s*
14,Bubba Chandler,P,PIT,23.4,14,0,2021,Debuted,Y,3,*05rik*
15,Colt Emerson,SS,SEA,20.5,15,0,2023,2026,Y,3,*060ub*
16,Walker Jenkins,OF,MIN,20.9,16,0,2023,2026,Y,3,*05u3v*
17,Carson Benge,OF,NYM,23,17,0,2024,2026,Y,3,*06aly*
18,Josue De Paula,OF,LAD,20.7,8,-10,2022,2026,Y,3,*061zv*
19,Zyhir Hope,OF,LAD,21,12,-7,2023,2026,Y,3,*06eyu*
20,Sal Stewart,1B,CIN,22.1,24,4,2022,Debuted,Y,3,*05u9o*
21,Rainiel Rodriguez,C,STL,19.1,41,20,2024,2027,,3,*06mnp*
22,Bryce Rainer,SS,DET,20.6,20,-2,2024,2027,Y,3,*05yai*
23,Andrew Painter,P,PHI,22.8,21,-2,2021,2025,Y,4,*05r3i*
24,Edward Florentino,OF,PIT,19.2,22,-2,2024,2028,Y,4,*06mh4*
25,Travis Bazzana,2B,CLE,23.4,23,-2,2024,2025,,4,*05zde*
26,Caleb Bonemer,"3B,SS",CHW,20.3,30,4,2024,2027,Y,4,*06hea*
27,Thomas White,P,MIA,21.3,25,-2,2023,2026,Y,4,*05tp6*
28,Brody Hopkins,P,TB,24,47,19,2023,2026,Y,4,*06f1b*
29,Kade Anderson,P,SEA,21.6,26,-3,2025,2026,,4,*05ydp*
30,Payton Tolle,P,BOS,23.2,27,-3,2024,Debuted,Y,4,*06gwk*
31,Joshua Baez,OF,STL,22.6,41,10,2021,2026,,4,*05rcf*
32,Luis Pena,"2B,SS",MIL,19.2,28,-4,2024,2028,Y,4,*06j3f*
33,Ryan Waldschmidt,OF,ARI,23.3,47,14,2024,2026,Y,4,*06dlz*
34,Robby Snelling,P,MIA,22.1,31,-3,2022,2025,,4,*061mh*
35,Carter Jensen,C,KC,22.6,33,-2,2021,Debuted,Y,5,*05vy5*
36,Josuar Gonzalez,SS,SF,18.3,56,20,2025,2028,,5,*06ps2*
37,Jonah Tong,P,NYM,22.6,35,-2,2022,Debuted,Y,5,*0658b*
38,Lazaro Montes,OF,SEA,21.3,29,-9,2022,2026,Y,5,*05rfc*
39,Eli Willits,SS,WSH,18.1,34,-5,2025,2028,,5,*06n8y*
40,Jaxon Wiggins,P,CHC,24.3,38,-2,2023,2026,Y,5,*05u2p*
41,Ryan Sloan,P,SEA,20,39,-2,2024,2027,,5,*06ier*
42,Jojo Parker,SS,TOR,19.5,49,7,2025,2028,,5,*06se6*
43,Dax Kilby,SS,NYY,19.2,75,32,2025,2028,,5,*06utg*
44,Josue Briceno,"C,1B",DET,21.3,19,-25,2023,2026,Y,5,*0637j*
45,Ralphy Velazquez,1B,CLE,20.7,60,15,2023,2026,Y,5,*067yp*
46,Esmerlyn Valdez,OF,PIT,22,161,115,2021,2027,Y,5,*05rbw*
47,Braden Montgomery,OF,CHW,22.8,40,-7,2024,2026,Y,5,*05rcg*
48,Liam Doyle,P,STL,21.7,72,24,2025,2026,,5,*06roc*
49,Mike Sirota,OF,LAD,22.6,66,17,2024,2026,,5,*066ip*
50,Michael Arroyo,2B,SEA,21.2,32,-18,2022,2026,,5,*05yid*
51,Jett Williams,"2B,SS,OF",NYM,22.2,36,-15,2022,2025,Y,5,*060la*
52,Gavin Fien,"3B,SS",TEX,18.9,43,-9,2025,2028,Y,5,*06qyu*
53,Aiva Arquette,SS,MIA,22.3,44,-9,2025,2027,,5,*06pg6*
54,Moises Ballesteros,UT,CHC,22.2,45,-9,2020,Debuted,Y,5,*05rbs*
