Ranking,Tier,Player ID,Player,Position,Team,Age,Previous,Movement
1,1,*04lgp*,Bobby Witt Jr.,SS,KC,24.6,1,0
2,1,*02yc4*,Shohei Ohtani,UT,LAD,30.6,2,0
3,1,*050w9*,Gunnar Henderson,SS,BAL,23.6,3,0
4,1,*03ynj*,Juan Soto,OF,NYM,26.2,4,0
5,2,*05udp*,Elly De La Cruz,"3B,SS",CIN,23,5,0
6,2,*03pir*,Kyle Tucker,OF,CHC,28,7,1
7,2,*03wha*,Ronald Acuna Jr.,OF,ATL,27.1,13,6
8,2,*04fhb*,Julio Rodriguez,OF,SEA,24.1,16,8
9,2,*05m1e*,Jackson Chourio,OF,MIL,20.7,14,5
10,2,*02z0s*,Aaron Judge,OF,NYY,32.7,6,-4
11,2,*02611*,Francisco Lindor,SS,NYM,31.2,8,-3
12,2,*03ojr*,Vladimir Guerrero Jr.,1B,TOR,25.9,9,-3
13,3,*01ub6*,Jose Ramirez,3B,CLE,32.3,11,-2
14,3,*03zbh*,Fernando Tatis Jr.,OF,SD,26.1,20,6
15,3,*04y4e*,Corbin Carroll,OF,ARI,24.4,19,4
16,3,*060pm*,Wyatt Langford,OF,TEX,23.2,18,2
17,3,*04355*,Yordan Alvarez,OF,HOU,27.6,17,0
18,3,*04ptt*,Tarik Skubal,P,DET,28.2,22,4
19,3,*05wru*,Paul Skenes,P,PIT,22.6,23,4
20,3,*02btf*,Mookie Betts,"2B,SS,OF",LAD,32.3,12,-8
21,3,*05rat*,James Wood,OF,WSH,22.3,24,3
22,4,*05ua7*,Jackson Merrill,OF,SD,21.8,28,6
23,4,*01fh9*,Bryce Harper,1B,PHI,32.3,15,-8
24,4,*04pst*,Jarren Duran,OF,BOS,28.4,21,-3
25,4,*030uc*,Rafael Devers,3B,BOS,28.2,10,-15
26,4,*03pom*,Austin Riley,3B,ATL,27.8,25,-1
27,4,*0326s*,Ketel Marte,2B,ARI,31.3,30,3
28,4,*02mw6*,Corey Seager,SS,TEX,30.7,29,1
29,5,*05ajh*,Garrett Crochet,P,BOS,25.6,35,6
30,5,*041ma*,Cole Ragans,P,KC,27.1,32,2
31,5,*04n0m*,Logan Gilbert,P,SEA,27.7,33,2
32,5,*04yie*,George Kirby,P,SEA,27,34,2
33,5,*05gdz*,Roki Sasaki,P,(N/A),23.3,36,3
34,5,*01sb3*,Zack Wheeler,P,PHI,34.7,31,-3
35,5,*03zlh*,Oneil Cruz,"SS,OF",PIT,26.3,37,2
36,5,*02c68*,Trea Turner,SS,PHI,31.6,38,2
37,5,*02mwm*,Matt Olson,1B,ATL,30.8,27,-10
38,5,*05xch*,Junior Caminero,3B,TB,21.5,39,1
39,5,*04nb2*,Riley Greene,OF,DET,24.3,40,1
40,6,*05r8n*,Yoshinobu Yamamoto,P,LAD,26.4,41,1
41,6,*041rd*,Corbin Burnes,P,ARI,30.3,57,16
42,6,*0512v*,Michael Harris II,OF,ATL,23.9,43,1
43,6,*01cgo*,Freddie Freeman,1B,LAD,35.4,26,-17
44,6,*041pz*,Pete Alonso,1B,(N/A),30.1,44,0
45,6,*02bqr*,Blake Snell,P,LAD,32.1,45,0
46,6,*03df2*,Dylan Cease,P,SD,29.1,48,2
47,6,*045qo*,Jazz Chisholm Jr.,"3B,OF",NYY,27,50,3
48,6,*03fi0*,Ozzie Albies,2B,ATL,28,51,3
49,6,*04qk8*,CJ Abrams,SS,WSH,24.3,52,3
50,6,*04aeb*,Royce Lewis,"3B,SS",MIN,25.6,53,3
51,6,*01svq*,Manny Machado,3B,SD,32.5,69,18
52,7,*05mre*,Spencer Strider,P,ATL,26.2,58,6
53,7,*05aoc*,Eury Perez,P,MIA,21.8,59,6
54,7,*041wv*,Michael King,P,SD,29.7,54,0
55,7,*05vy6*,Bryce Miller,P,SEA,26.4,61,6
56,7,*01spo*,Gerrit Cole,P,NYY,34.4,47,-9
57,7,*03cag*,Kyle Schwarber,OF,PHI,31.9,42,-15
58,7,*05u9z*,Roman Anthony,OF,BOS,20.7,63,5
59,7,*03yrz*,William Contreras,C,MIL,27.1,65,6
60,7,*04q2n*,Adley Rutschman,C,BAL,27,66,6
61,7,*03e5m*,Bryan Reynolds,OF,PIT,30,62,1
62,7,*04e2u*,Brent Rooker,OF,OAK,30.2,73,11
63,7,*02btx*,Tyler Glasnow,P,LAD,31.4,75,12
64,7,*04aea*,Hunter Greene,P,CIN,25.5,78,14
65,7,*050c3*,Jasson Dominguez,OF,NYY,22,71,6
66,7,*043f9*,Pablo Lopez,P,MIN,28.9,56,-10
67,7,*01uca*,Chris Sale,P,ATL,35.8,76,9
68,7,*03dc4*,Freddy Peralta,P,MIL,28.6,79,11
69,7,*04mlt*,Shane McClanahan,P,TB,27.7,80,11
70,7,*041qo*,Zac Gallen,P,ARI,29.5,81,11
71,7,*05h2u*,Jared Jones,P,PIT,23.4,60,-11
72,7,*05xu5*,Zach Neto,SS,LAA,24,82,10
73,7,*03atq*,Willy Adames,SS,SF,29.4,83,10
74,7,*0596e*,Dylan Crews,OF,WSH,22.6,98,24
75,7,*03dbm*,Logan Webb,P,SF,28.2,46,-29
76,7,*0524l*,Yainer Diaz,C,HOU,26.3,85,9
77,7,*024m0*,Jose Altuve,2B,HOU,34.7,64,-13
78,7,*05gsc*,Jordan Westburg,"2B,3B",BAL,25.9,86,8
79,7,*03pjd*,Josh Naylor,1B,ARI,27.6,70,-9
80,7,*04de1*,Triston Casas,1B,BOS,25,87,7
81,7,*05184*,Vinnie Pasquantino,1B,KC,27.3,88,7
82,7,*04prt*,Lawrence Butler,"3B,OF",OAK,24.5,89,7
83,8,*01usi*,Marcell Ozuna,UT,ATL,34.2,91,8
84,8,*047l7*,Luis Robert Jr.,OF,CHW,27.5,92,8
85,8,*05tq1*,Spencer Schwellenbach,P,ATL,24.6,93,8
86,8,*05rb0*,Jackson Jobe,P,DET,22.5,94,8
87,8,*04pko*,Grayson Rodriguez,P,BAL,25.2,77,-10
88,8,*04ps7*,Joe Ryan,P,MIN,28.6,67,-21
89,8,*02i2j*,Max Fried,P,NYY,31,74,-15
90,8,*04b02*,Seiya Suzuki,OF,CHC,30.4,95,5
91,8,*02xic*,Teoscar Hernandez,OF,LAD,32.3,96,5
92,8,*05rbv*,Samuel Basallo,"C,1B",BAL,20.4,97,5
93,8,*04pks*,Matt McLain,"2B,SS",CIN,25.5,115,22
94,8,*06f0q*,Kristian Campbell,"2B,SS,OF",BOS,22.6,108,14
95,8,*063vu*,Matt Shaw,"2B,3B,SS",CHC,23.2,141,46
96,8,*05zde*,Travis Bazzana,2B,CLE,22.4,99,3
97,8,*05ybv*,Jackson Holliday,2B,BAL,21.1,49,-48
98,8,*04auj*,Framber Valdez,P,HOU,31.2,55,-43
99,8,*05ge9*,Shota Imanaga,P,CHC,31.4,100,1
100,8,*0425t*,Bailey Ober,P,MIN,29.5,101,1
101,8,*03nuc*,Luis Castillo,P,SEA,32.1,68,-33
102,8,*02i3o*,Aaron Nola,P,PHI,31.6,84,-18
103,8,*025dn*,Christian Yelich,OF,MIL,33.1,90,-13
104,8,*041qb*,Bo Bichette,SS,TOR,26.9,102,-2
105,8,*05r3i*,Andrew Painter,P,PHI,21.8,103,-2
106,8,*05y23*,Tanner Bibee,P,CLE,25.9,105,-1
107,8,*03btv*,Sandy Alcantara,P,MIA,29.4,106,-1
108,8,*05js5*,Coby Mayo,3B,BAL,23.1,112,4
109,8,*04mra*,Ezequiel Tovar,SS,COL,23.5,107,-2
110,8,*03zcy*,Mark Vientos,3B,NYM,25.1,137,27
111,8,*05gwy*,Masyn Winn,SS,STL,22.8,109,-2
112,8,*04my4*,Cal Raleigh,C,SEA,28.2,119,7
113,8,*02w16*,Anthony Santander,OF,(N/A),30.3,111,-2
114,8,*04y9p*,Anthony Volpe,SS,NYY,23.7,113,-1
115,8,*054p6*,Emmanuel Rodriguez,OF,MIN,21.9,122,7
116,8,*05u3v*,Walker Jenkins,OF,MIN,19.9,114,-2
117,8,*0662o*,Sebastian Walcott,"3B,SS",TEX,18.9,116,-1
118,8,*04qnc*,Francisco Alvarez,C,NYM,23.2,117,-1
119,8,*042sz*,Will Smith,C,LAD,29.8,118,-1
120,8,*06aw3*,JJ Wetherholt,SS,STL,22.4,142,22
121,8,*03120*,Cody Bellinger,"1B,OF",NYY,29.5,120,-1
122,9,*0512m*,Ryan Pepiot,P,TB,27.4,121,-1
123,9,*05y62*,Bryan Woo,P,SEA,25,104,-19
124,9,*0513l*,Brenton Doyle,OF,COL,26.7,123,-1
125,9,*03nmw*,Ian Happ,OF,CHC,30.4,125,0
126,9,*0512e*,Spencer Steer,"1B,OF",CIN,27.1,126,0
127,9,*04071*,Isaac Paredes,"1B,3B",HOU,25.9,239,112
128,9,*01s8u*,Mike Trout,OF,LAA,33.5,128,0
129,9,*03d6w*,Jack Flaherty,P,(N/A),29.3,129,0
130,9,*02yk4*,Tyler O'Neill,OF,BAL,29.6,130,0
131,9,*05ras*,Colton Cowser,OF,BAL,24.8,131,0
132,9,*04cwf*,Shane Baz,P,TB,25.6,132,0
133,9,*05rik*,Bubba Chandler,P,PIT,22.4,133,0
134,9,*05uc7*,Noah Schultz,P,CHW,21.5,134,0
135,9,*04pr8*,Taj Bradley,P,TB,23.8,135,0
136,9,*051em*,Kerry Carpenter,OF,DET,27.4,158,22
137,9,*05144*,Hunter Brown,P,HOU,26.4,152,15
138,9,*05u9y*,Max Clark,OF,DET,20.1,138,0
139,9,*04cd5*,MacKenzie Gore,P,WSH,25.9,139,0
140,9,*02w7p*,Alex Bregman,3B,(N/A),30.8,140,0
141,9,*03d6s*,Matt Chapman,3B,SF,31.7,177,36
142,9,*04y44*,Josh Jung,3B,TEX,26.9,178,36
143,9,*067yc*,Leodalis De Vries,SS,SD,18.3,143,0
144,9,*02mw3*,Christian Walker,1B,HOU,33.8,144,0
145,10,*02i2q*,Carlos Correa,SS,MIN,30.3,145,0
146,10,*06eyu*,Zyhir Hope,OF,LAD,20,146,0
147,10,*062k5*,Nick Kurtz,1B,OAK,21.9,147,0
148,10,*05jrh*,Colt Keith,2B,DET,23.4,153,5
149,10,*02bu9*,Marcus Semien,2B,TEX,34.4,149,0
150,10,*04azu*,Kumar Rocker,P,TEX,25.2,150,0
151,10,*041ah*,Josh Lowe,OF,TB,27,124,-27
152,10,*05mdt*,Evan Carter,OF,TEX,22.4,169,17
153,10,*051wv*,Pete Crow-Armstrong,OF,CHC,22.8,183,30
154,10,*05uei*,Chase DeLauter,OF,CLE,23.3,262,108
155,10,*03i81*,Reynaldo Lopez,P,ATL,31,136,-19
156,10,*03deg*,Justin Steele,P,CHC,29.5,127,-29
157,10,*03aac*,Walker Buehler,P,BOS,30.5,155,-2
158,10,*0260v*,Sonny Gray,P,STL,35.2,156,-2
159,10,*05ucd*,Mason Miller,P,OAK,26.4,207,48
160,10,*04ug5*,Emmanuel Clase,P,CLE,26.8,208,48
161,10,*0311c*,Devin Williams,P,NYY,30.3,210,49
162,10,*03ql5*,Ryan Helsley,P,STL,30.5,211,49
163,10,*03aqv*,Raisel Iglesias,P,ATL,35.1,232,69
164,10,*04o4s*,Shea Langeliers,C,OAK,27.2,157,-7
165,10,*04pr1*,Steven Kwan,OF,CLE,27.4,165,0
166,10,*040b5*,Randy Arozarena,OF,SEA,29.9,72,-94
167,10,*025gb*,Xander Bogaerts,"2B,SS",SD,32.3,110,-57
168,10,*031t0*,Gleyber Torres,2B,DET,28.1,159,-9
169,10,*03ae8*,Dansby Swanson,SS,CHC,30.9,160,-9
170,10,*04azv*,Jake Burger,"1B,3B",TEX,28.8,161,-9
171,10,*02hjp*,Jacob deGrom,P,TEX,36.6,162,-9
172,10,*04p10*,Bryson Stott,2B,PHI,27.3,163,-9
173,10,*04ppj*,Jeremy Pena,SS,HOU,27.3,164,-9
174,10,*05ajg*,Ha-Seong Kim,SS,(N/A),29.3,196,22
175,10,*05t9n*,Carson Williams,SS,TB,21.6,166,-9
176,10,,Luis Garcia(WSH),,,24.3,167,-9
177,10,*05xtz*,Dalton Rushing,"C,OF",LAD,23.9,168,-9
178,10,*05yby*,Kevin McGonigle,"2B,SS",DET,20.4,203,25
179,10,*05u96*,Bryce Eldridge,1B,SF,20.2,170,-9
180,10,*02c2r*,Carlos Rodon,P,NYY,32.1,189,9
181,10,*05lg3*,Brandon Pfaadt,P,ARI,26.3,228,47
182,10,*060x1*,Wilyer Abreu,OF,BOS,25.6,151,-31
183,10,*01uc9*,Nick Castellanos,OF,PHI,32.9,174,-9
184,10,*03d7h*,Mitch Keller,P,PIT,28.8,175,-9
185,10,*041sq*,Tommy Edman,"SS,OF",LAD,29.7,176,-9
186,10,*04q56*,Logan O'Hoppe,C,LAA,25,179,-7
187,10,*05u9q*,Jac Caglianone,1B,KC,21.9,180,-7
188,10,*04t9b*,Michael Busch,1B,CHC,27.2,200,12
189,10,*04pmn*,Parker Meadows,OF,DET,25.2,182,-7
190,10,*02bq2*,Brandon Nimmo,OF,NYM,31.8,154,-36
191,10,*03djk*,Tanner Houck,P,BOS,28.6,148,-43
192,10,*05jp7*,Gavin Williams,P,CLE,25.5,184,-8
193,10,*05yj0*,Chase Dollander,P,COL,23.2,185,-8
194,10,*04s1h*,Luis Gil,P,NYY,26.6,186,-8
195,10,*02hi7*,Kevin Gausman,P,TOR,34,190,-5
196,11,*04mn5*,Alec Bohm,"1B,3B",PHI,28.5,191,-5
197,11,*04pkr*,Nico Hoerner,"2B,SS",CHC,27.7,192,-5
198,11,*04ml0*,Yusei Kikuchi,P,LAA,33.6,193,-5
199,11,*02mwq*,Zach Eflin,P,BAL,30.8,194,-5
200,11,*02mwk*,Jose Berrios,P,TOR,30.7,172,-28
201,11,*04ee8*,Heliot Ramos,OF,SF,25.4,243,42
202,11,*06ibv*,Jesus Made,SS,MIL,17.7,197,-5
203,11,*041r1*,Jesus Luzardo,P,PHI,27.3,198,-5
204,11,*03oh0*,Willson Contreras,C,STL,32.7,199,-5
205,11,*03m6o*,Yandy Diaz,1B,TB,33.5,247,42
206,11,*05rfu*,Kyle Manzardo,UT,CLE,24.5,201,-5
207,11,*0513c*,Joey Ortiz,3B,MIL,26.5,202,-5
208,11,*03dei*,Lane Thomas,OF,CLE,29.4,267,59
209,11,*04pq4*,Kyle Bradish,P,BAL,28.4,235,26
210,11,*0421k*,Bowden Francis,P,TOR,28.8,187,-23
211,11,*060gd*,Quinn Mathews,P,STL,24.3,205,-6
212,11,*041rf*,Shane Bieber,P,CLE,29.6,265,53
213,11,*05r9j*,Marcelo Mayer,SS,BOS,22.1,248,35
214,11,*04nx3*,Jonathan India,2B,KC,28.1,263,49
215,11,*02n96*,Josh Hader,P,HOU,30.8,209,-6
216,11,*03dfa*,Tanner Scott,P,(N/A),30.5,212,-4
217,11,*0403o*,Andres Munoz,P,SEA,26,213,-4
218,11,*04a2t*,Kodai Senga,P,NYM,32,214,-4
219,11,*02my5*,Edwin Diaz,P,NYM,30.8,230,11
220,11,*05t64*,Felix Bautista,P,BAL,29.6,231,11
221,11,*02x0f*,Sean Manaea,P,NYM,33,217,-4
222,11,*041ps*,Nick Lodolo,P,CIN,27,173,-49
223,11,*05y0j*,Spencer Arrighetti,P,HOU,23,188,-35
224,11,*05gbf*,Jordan Walker,OF,STL,22.7,218,-6
225,11,*03avk*,Luis Rengifo,"2B,3B",LAA,27.9,219,-6
226,11,*04aq4*,Adolis Garcia,OF,TEX,31.9,220,-6
227,11,*03pje*,Taylor Ward,OF,LAA,31.1,221,-6
228,11,*01u75*,Salvador Perez,"C,1B",KC,34.7,237,9
229,11,*05r1m*,Jordan Lawlar,SS,ARI,22.6,223,-6
230,11,*02bqh*,Trevor Story,SS,BOS,32.2,224,-6
231,11,*05yav*,David Festa,P,MIN,24.9,225,-6
232,11,*0316j*,Nick Pivetta,P,(N/A),31.9,204,-28
233,11,*05gwz*,Bobby Miller,P,LAD,25.8,226,-7
234,11,*025j1*,Robbie Ray,P,SF,33.3,227,-7
235,11,*05gtn*,Tyler Soderstrom,"C,1B",OAK,23.2,402,167
236,11,*041sz*,Tobias Myers,P,MIL,26.5,229,-7
237,11,*06cq8*,Christian Moore,2B,LAA,22.2,373,136
238,11,*03qjy*,Brandon Lowe,2B,TB,30.5,277,39
