Ranking,Tier,Player,Team,Position,Signed,ETA,Age,Prev Rank,Movement,OBP,Player ID,In-Person Look
1,1,Roman Anthony,BOS,OF,2022,2025,20.7,2,1,,*05u9z*,Y
2,1,Jasson Dominguez,NYY,OF,2019,Debuted,21.9,1,-1,UP,*050c3*,Y
3,2,Andrew Painter,PHI,P,2021,2025,21.8,3,0,,*05r3i*,Y
4,2,Dylan Crews,WSH,OF,2023,Debuted,22.6,4,0,UP,*0596e*,Y
5,2,Samuel Basallo,BAL,"C,1B",2021,2025,20.4,6,1,UP,*05rbv*,Y
6,2,Matt Shaw,CHC,"2B,3B,SS",2023,2025,23.2,7,1,,*063vu*,Y
7,2,Kristian Campbell,BOS,"2B,SS,OF",2023,2025,22.5,14,7,,*06f0q*,Y
8,2,Jackson Jobe,DET,P,2021,Debuted,22.5,11,3,,*05rb0*,Y
9,2,Sebastian Walcott,TEX,"3B,SS",2023,2026,18.8,9,0,,*0662o*,Y
10,2,Travis Bazzana,CLE,2B,2024,2025,22.4,12,2,,*05zde*,
11,2,Max Clark,DET,OF,2023,2025,20.1,8,-3,,*05u9y*,Y
12,2,Emmanuel Rodriguez,MIN,OF,2019,2025,21.9,13,1,UP,*054p6*,Y
13,2,Walker Jenkins,MIN,OF,2023,2026,19.9,10,-3,,*05u3v*,Y
14,2,Coby Mayo,BAL,3B,2020,Debuted,23.1,5,-9,,*05js5*,Y
15,3,Dalton Rushing,LAD,"C,OF",2022,2025,23.9,15,0,UP,*05xtz*,
16,3,Bryce Eldridge,SF,1B,2023,2025,20.2,16,0,,*05u96*,
17,3,Bubba Chandler,PIT,P,2021,2025,22.3,17,0,,*05rik*,Y
18,3,Chase Dollander,COL,P,2023,2025,23.2,18,0,,*05yj0*,Y
19,3,Noah Schultz,CHW,P,2022,2025,21.4,19,0,,*05uc7*,Y
20,3,Leodalis De Vries,SD,SS,2024,2026,18.3,20,0,,*067yc*,Y
21,3,Carson Williams,TB,SS,2021,2025,21.6,21,0,UP,*05t9n*,Y
22,3,JJ Wetherholt,STL,SS,2024,2025,22.3,22,0,,*06aw3*,
23,3,Nick Kurtz,OAK,1B,2024,2025,21.8,23,0,,*062k5*,Y
24,3,Zyhir Hope,LAD,OF,2023,2026,20,24,0,,*06eyu*,Y
25,3,Chase DeLauter,CLE,OF,2022,2025,23.2,26,1,,*05uei*,Y
26,3,Kevin McGonigle,DET,"2B,SS",2023,2026,20.4,27,1,,*05yby*,Y
27,3,Marcelo Mayer,BOS,SS,2021,2025,22.1,28,1,UP,*05r9j*,Y
28,4,Quinn Mathews,STL,P,2023,2025,24.3,30,2,,*060gd*,
29,4,Thomas White,MIA,P,2023,2026,20.3,31,2,,*05tp6*,
30,4,Kumar Rocker,TEX,P,2022,Debuted,25.1,32,2,,*04azu*,
31,4,Travis Sykora,WSH,P,2023,2026,20.7,33,2,,*05ycl*,Y
32,4,Jordan Lawlar,ARI,SS,2021,Debuted,22.5,34,2,,*05r1m*,Y
33,4,Jesus Made,MIL,SS,2024,2028,17.7,35,2,,*06ibv*,
34,4,Colt Emerson,SEA,SS,2023,2026,19.5,25,-9,,*060ub*,
35,4,Christian Moore,LAA,2B,2024,2025,22.2,36,1,,*06cq8*,
36,4,Jonny Farmelo,SEA,OF,2023,2026,20.3,37,1,,*066sx*,
37,4,Josue De Paula,LAD,OF,2022,2026,19.6,38,1,,*061zv*,
38,4,Eduardo Quintero,LAD,OF,2023,2027,19.3,39,1,,*06c79*,
39,4,Moises Ballesteros,CHC,C,2020,2025,21.2,40,1,UP,*05rbs*,Y
40,4,Jacob Wilson,OAK,SS,2023,Debuted,22.8,41,1,,*0622t*,
41,4,Brandon Sproat,NYM,P,2023,2025,24.3,46,5,,*0515o*,
42,4,Felnin Celesten,SEA,SS,2023,2027,19.3,50,8,,*05mx9*,
43,4,Jett Williams,NYM,SS,2022,2025,21.2,48,5,UP,*060la*,Y
44,4,Charlie Condon,COL,OF,2024,2025,21.8,43,-1,,*06alk*,Y
45,4,Jac Caglianone,KC,1B,2024,2025,21.9,44,-1,,*05u9q*,Y
46,4,Braden Montgomery,CHW,OF,2024,2026,21.7,45,-1,,*05rcg*,Y
47,5,Luke Keaschall,MIN,2B,2023,2025,22.4,51,4,,*05zh9*,Y
48,5,Michael Arroyo,SEA,2B,2022,2026,20.2,54,6,,*05yid*,
49,5,Colson Montgomery,CHW,SS,2021,2025,22.9,42,-7,,*05rch*,Y
50,5,Aidan Miller,PHI,SS,2023,2026,20.6,58,8,,*05u36*,Y
51,5,Kyle Teel,CHW,C,2023,2025,22.9,53,2,,*05wxy*,Y
52,5,Cam Smith,HOU,3B,2024,2026,21.9,60,8,,*060jo*,
53,5,Thayron Liranzo,DET,"C,1B",2021,2026,21.5,61,8,,*05r64*,Y
54,5,Konnor Griffin,PIT,SS,2024,2027,18.7,62,8,,*05u3u*,
55,5,Bryce Rainer,DET,SS,2024,2027,19.5,63,8,,*05yai*,
56,5,Angel Genao,CLE,SS,2021,2026,20.7,64,8,,*05r5e*,
57,5,Rhett Lowder,CIN,P,2023,Debuted,22.9,29,-28,,*061bo*,
58,5,Alejandro Rosario,TEX,P,2023,2025,23,65,7,,*05jri*,Y
59,5,Chase Burns,CIN,P,2024,2025,22,66,7,,*05rb3*,
60,5,Hagen Smith,CHW,P,2024,2025,21.4,67,7,,*05zd4*,Y
61,5,Jeferson Quero,MIL,C,2019,2025,22.3,68,7,,*05gss*,Y
62,6,Joendry Vargas,LAD,SS,2023,2027,19.2,49,-13,,*06625*,
63,6,Cam Collier,CIN,3B,2022,2026,20.1,86,23,,*05u1y*,Y
64,6,Ethan Salas,SD,C,2023,2026,18.6,71,7,,*05ybr*,Y
65,6,Lazaro Montes,SEA,OF,2022,2025,20.2,56,-9,UP,*05rfc*,
66,6,Thomas Harrington,PIT,P,2022,2025,23.5,73,7,,*05zya*,Y
67,6,Emil Morales,LAD,SS,2024,2027,18.3,55,-12,,*06ibo*,
68,6,Jaison Chourio,CLE,OF,2022,2027,19.7,75,7,,*05yix*,Y
69,6,Jacob Melton,HOU,OF,2022,2025,24.4,76,7,UP,*061gx*,Y
70,6,Aidan Smith,TB,OF,2023,2026,20.5,90,20,,*06dq9*,Y
71,6,Jarlin Susana,WSH,P,2022,2026,20.8,78,7,,*05y7n*,Y
72,6,Cade Horton,CHC,P,2022,2025,23.4,47,-25,,*05gww*,Y
73,6,Caden Dana,LAA,P,2022,Debuted,21.1,80,7,,*063e5*,
74,6,Cooper Pratt,MIL,SS,2023,2026,20.4,81,7,,*067xj*,Y
75,6,Tre' Morgan,TB,1B,2023,2025,22.5,125,50,,*05wrt*,Y
76,6,Welbyn Francisca,CLE,"2B,SS",2023,2027,18.7,89,13,,*066mk*,
77,6,Josue Briceno,DET,"C,1B",2023,2026,20.3,82,5,,*0637j*,Y
78,6,Xavier Isaac,TB,1B,2022,2026,21.1,70,-8,UP,*062pp*,Y
79,6,Ralphy Velazquez,CLE,1B,2023,2026,19.6,83,4,,*067yp*,Y
80,6,Eduardo Tait,PHI,C,2023,2027,18.4,84,4,,*06bsb*,Y
81,6,Drake Baldwin,ATL,C,2022,2025,23.8,52,-29,,*0630d*,Y
82,6,Demetrio Crisantes,ARI,2B,2022,2026,20.4,85,3,,*064o4*,
83,6,Ricky Tiedemann,TOR,P,2021,2026,22.4,217,134,,*05js6*,Y
84,6,Agustin Ramirez,MIA,"C,1B",2019,2025,23.3,74,-10,,*04z6m*,Y
85,6,Cole Young,SEA,"2B,SS",2022,2025,21.5,88,3,UP,*05y7x*,
86,6,Arjun Nimmala,TOR,SS,2023,2026,19.2,132,46,,*05y3p*,Y
87,6,Drew Gilbert,NYM,OF,2022,2025,24.3,77,-10,,*05xu0*,Y
88,6,Owen Caissie,CHC,OF,2020,2025,22.5,72,-16,UP,*05jsg*,Y
89,6,Ryan Clifford,NYM,"1B,OF",2022,2025,21.5,87,-2,,*05ge1*,Y
90,6,Luke Adams,MIL,"1B,3B",2022,2026,20.7,91,1,,*06582*,Y
91,6,Kevin Alcantara,CHC,OF,2018,Debuted,22.5,92,1,,*04qow*,Y
92,6,Edgar Quero,CHW,C,2021,2025,21.8,93,1,,*05un2*,Y
93,6,Blake Mitchell,KC,C,2023,2026,20.4,115,22,UP,*05y3q*,Y
94,6,Sal Stewart,CIN,"2B,3B",2022,2026,21.1,94,0,UP,*05u9o*,
95,7,Tink Hence,STL,P,2020,2025,22.4,69,-26,,*05jpx*,Y
96,7,Jonah Tong,NYM,P,2022,2026,21.6,95,-1,,*0658b*,
97,7,Ronny Mauricio,NYM,2B,2017,Debuted,23.8,96,-1,DOWN,*04fyo*,Y
98,7,Carter Jensen,KC,C,2021,2025,21.5,116,18,UP,*05vy5*,Y
