Ranking,Tier,Player ID,Player,Position,Team,Age,Prev Rank,Movement,Signed,ETA,In-Person Look
1,1,*05u9z*,Roman Anthony,OF,BOS,21.1,1,0,2022,2025,Y
2,2,*0662o*,Sebastian Walcott,"3B,SS",TEX,19.2,2,0,2023,2026,Y
3,2,*05r9j*,Marcelo Mayer,SS,BOS,22.5,4,1,2021,Debuted,Y
4,2,*067yc*,Leodalis De Vries,SS,SD,18.6,8,4,2024,2026,Y
5,2,*06ibv*,Jesus Made,SS,MIL,18.1,12,7,2024,2028,Y
6,2,*06eyu*,Zyhir Hope,OF,LAD,20.4,10,4,2023,2026,Y
7,2,*05u3u*,Konnor Griffin,SS,PIT,19.1,6,-1,2024,2027,Y
8,2,*062k5*,Nick Kurtz,1B,ATH,22.2,7,-1,2024,Debuted,Y
9,2,*05u9q*,Jac Caglianone,1B,KC,22.3,25,16,2024,2025,Y
10,3,*05rbv*,Samuel Basallo,"C,1B",BAL,20.8,9,-1,2021,2025,Y
11,3,*05xtz*,Dalton Rushing,"C,OF",LAD,24.3,20,9,2022,Debuted,
12,3,*05yai*,Bryce Rainer,SS,DET,19.9,11,-1,2024,2027,Y
13,3,*061zv*,Josue De Paula,OF,LAD,20,23,10,2022,2026,
14,3,*05yby*,Kevin McGonigle,"2B,SS",DET,20.8,16,2,2023,2026,Y
15,3,*06aw3*,JJ Wetherholt,SS,STL,22.7,13,-2,2024,2025,
16,3,*063vu*,Matt Shaw,"2B,3B,SS",CHC,23.6,14,-2,2023,Debuted,Y
17,3,*05rb3*,Chase Burns,P,CIN,22.4,34,17,2024,2025,
18,3,*05rik*,Bubba Chandler,P,PIT,22.7,6,-12,2021,2025,Y
19,3,*05r3i*,Andrew Painter,P,PHI,22.2,17,-2,2021,2025,Y
20,3,*05u96*,Bryce Eldridge,1B,SF,20.6,23,3,2023,2025,Y
21,3,*05y3p*,Arjun Nimmala,SS,TOR,19.6,37,16,2023,2026,Y
22,3,*05rcg*,Braden Montgomery,OF,CHW,22.1,43,21,2024,2026,Y
23,3,*05zde*,Travis Bazzana,2B,CLE,22.8,15,-8,2024,2025,
24,3,*05u9y*,Max Clark,OF,DET,20.5,21,-3,2023,2026,Y
25,4,*05ycl*,Travis Sykora,P,WSH,21.1,36,11,2023,2026,Y
26,4,*061yu*,Jacob Misiorowski,P,MIL,23.2,77,51,2022,2025,Y
27,4,*05u3v*,Walker Jenkins,OF,MIN,20.3,28,1,2023,2026,Y
28,4,*05zh9*,Luke Keaschall,2B,MIN,22.8,22,-6,2023,Debuted,Y
29,4,*06b72*,George Lombard Jr.,SS,NYY,20,30,1,2023,2026,Y
30,4,*04z6m*,Agustin Ramirez,"C,1B",MIA,23.7,32,2,2019,Debuted,Y
31,4,*05r1m*,Jordan Lawlar,SS,ARI,22.9,49,18,2021,Debuted,Y
32,4,*05tp6*,Thomas White,P,MIA,20.7,35,3,2023,2026,
33,4,*06ier*,Ryan Sloan,P,SEA,19.3,53,20,2024,2027,
34,4,*06c79*,Eduardo Quintero,OF,LAD,19.7,62,28,2023,2027,
35,4,*067xj*,Cooper Pratt,SS,MIL,20.8,41,6,2023,2026,Y
36,4,*05rfc*,Lazaro Montes,OF,SEA,20.6,60,24,2022,2026,
37,4,*066sx*,Jonny Farmelo,OF,SEA,20.7,42,5,2023,2026,
38,4,*06423*,Aroon Escobar,2B,PHI,20.4,68,30,2022,2027,Y
39,4,*05r5e*,Angel Genao,SS,CLE,21,45,6,2021,2026,Y
40,4,*054p6*,Emmanuel Rodriguez,OF,MIN,22.3,18,-22,2019,2025,Y
41,5,*05uc7*,Noah Schultz,P,CHW,21.8,25,-16,2022,2025,Y
42,5,*06j3f*,Luis Pena,SS,MIL,18.6,93,51,2024,2028,Y
43,5,*05wxy*,Kyle Teel,C,CHW,23.3,44,1,2023,2025,Y
44,5,*0637j*,Josue Briceno,1B,DET,20.7,56,12,2023,2026,Y
45,5,*06mne*,Luke Dickerson,SS,WSH,19.8,251,206,2024,2027,
46,5,*06mnk*,Tyson Lewis,SS,CIN,19.4,212,166,2024,2027,
47,5,*05mx9*,Felnin Celesten,SS,SEA,19.7,50,3,2023,2027,Y
48,5,*05js5*,Coby Mayo,3B,BAL,23.5,31,-17,2020,Debuted,Y
49,5,*05u36*,Aidan Miller,SS,PHI,21,48,-1,2023,2026,Y
50,5,*059bx*,Brady House,3B,WSH,22,135,85,2021,2025,Y
51,5,*060la*,Jett Williams,SS,NYM,21.6,64,13,2022,2025,Y
52,5,*05u1y*,Cam Collier,3B,CIN,20.5,66,14,2022,2026,Y
53,5,*05xu1*,Alex Freeland,SS,LAD,23.8,67,14,2022,2026,
54,5,*06c78*,Franklin Arias,"2B,SS",BOS,19.5,57,3,2023,2027,Y
55,6,*05t9n*,Carson Williams,SS,TB,21.9,38,-17,2021,2025,Y
56,6,*05rbs*,Moises Ballesteros,C,CHC,21.6,69,13,2020,Debuted,Y
57,6,*06dlz*,Ryan Waldschmidt,OF,ARI,22.7,103,46,2024,2026,Y
58,6,*05yid*,Michael Arroyo,2B,SEA,20.6,71,13,2022,2026,
59,6,*05j8u*,Jhostynxon Garcia,OF,BOS,22.5,170,111,2019,2026,Y
60,6,*06bsb*,Eduardo Tait,C,PHI,18.8,58,-2,2023,2027,Y
61,6,*05uo2*,Logan Henderson,P,MIL,23.3,74,13,2021,Debuted,Y
62,6,*05u2m*,Theo Gillen,OF,TB,19.7,174,112,2024,2027,Y
63,6,*06agr*,Slade Caldwell,OF,ARI,19,63,0,2024,2027,
64,6,*05js6*,Ricky Tiedemann,P,TOR,22.8,76,12,2021,2026,Y
65,6,*05uei*,Chase DeLauter,OF,CLE,23.6,72,7,2022,2025,Y
66,6,*05yix*,Jaison Chourio,OF,CLE,20,40,-26,2022,2027,Y
67,6,*05t9g*,Gage Jump,P,ATH,22.1,277,210,2024,2026,Y
68,6,*061mh*,Robby Snelling,P,MIA,21.5,65,-3,2022,2025,
69,6,*05zd4*,Hagen Smith,P,CHW,21.8,52,-17,2024,2025,Y
70,6,*05y7x*,Cole Young,"2B,SS",SEA,21.9,81,11,2022,2025,
71,6,*0658b*,Jonah Tong,P,NYM,22,98,27,2022,2026,Y
72,6,*062pp*,Xavier Isaac,1B,TB,21.5,59,-13,2022,2026,Y
73,7,*06apx*,Trey Yesavage,P,TOR,21.9,96,23,2024,2026,Y
74,7,*06hea*,Caleb Bonemer,SS,CHW,19.7,162,88,2024,2027,
75,7,*0622w*,Chandler Simpson,OF,TB,24.5,85,10,2022,Debuted,Y
76,7,*0662m*,Luis Morales,P,ATH,22.7,148,72,2023,2026,
77,7,*06f1b*,Brody Hopkins,P,TB,23.4,86,9,2023,2026,Y
78,7,*060gd*,Quinn Mathews,P,STL,24.7,47,-31,2023,2025,
79,7,*05gss*,Jeferson Quero,C,MIL,22.7,88,9,2019,2025,Y
80,7,*05rcd*,Joe Mack,C,MIA,22.4,90,10,2021,2026,Y
81,7,*06mnp*,Rainiel Rodriguez,C,STL,18.4,111,30,2024,2027,
82,7,*06626*,Alfredo Duno,C,CIN,19.4,114,32,2023,2026,
83,7,*060ub*,Colt Emerson,SS,SEA,19.9,39,-44,2023,2026,Y
84,7,*064o4*,Demetrio Crisantes,2B,ARI,20.7,54,-30,2022,2027,
85,7,*06kkf*,Braylon Payne,OF,MIL,18.8,91,6,2024,2027,Y
86,7,*05y30*,Justin Crawford,OF,PHI,21.4,92,6,2022,2026,Y
87,7,*05xu0*,Drew Gilbert,OF,NYM,24.7,187,100,2022,2025,Y
88,7,*06481*,Jacob Reimer,3B,NYM,21.3,112,24,2022,2026,Y
89,7,*06gwk*,Payton Tolle,P,BOS,22.6,140,51,2024,2026,Y
90,7,*06gjv*,Nestor German,P,BAL,23.3,220,130,2023,2026,Y
91,7,*05tzo*,J.R. Ritchie,P,ATL,21.9,97,6,2022,2026,Y
92,7,*061yt*,Alan Roden,OF,TOR,25.5,82,-10,2022,Debuted,Y
93,7,*067xm*,George Klassen,P,LAA,23.3,99,6,2023,2025,
