Ranking,Tier,Player ID,Player,Position,Team,Age,Previous OBP,Movement
1,1,*04lgp*,Bobby Witt Jr.,SS,KC,24,4,3
2,1,*02yc4*,Shohei Ohtani,"UT,P",LAD,30,3,1
3,1,*03ynj*,Juan Soto,OF,NYY,25.7,4,1
4,1,*050w9*,Gunnar Henderson,"3B,SS",BAL,23,10,6
5,1,*03pir*,Kyle Tucker,OF,HOU,27.4,5,0
6,2,*04fhb*,Julio Rodriguez,OF,SEA,23.5,8,2
7,2,*02z0s*,Aaron Judge,OF,NYY,32.2,12,5
8,2,*02btf*,Mookie Betts,"2B,OF",LAD,31.7,9,1
9,2,*03zbh*,Fernando Tatis Jr.,OF,SD,25.5,6,-3
10,2,*03wha*,Ronald Acuna Jr.,OF,ATL,26.5,1,-9
11,2,*01fh9*,Bryce Harper,1B,PHI,31.7,13,2
12,3,*05udp*,Elly De La Cruz,"3B,SS",CIN,22.5,7,-5
13,3,*01ub6*,Jose Ramirez,3B,CLE,31.8,19,6
14,3,*030uc*,Rafael Devers,3B,BOS,27.7,16,2
15,3,*02mw6*,Corey Seager,SS,TEX,30.2,17,2
16,3,*04355*,Yordan Alvarez,OF,HOU,27,11,-5
17,3,*02mwm*,Matt Olson,1B,ATL,30.2,21,4
18,3,*03pom*,Austin Riley,3B,ATL,27.2,14,-4
19,3,*02611*,Francisco Lindor,SS,NYM,30.6,26,7
20,4,*04y4e*,Corbin Carroll,OF,ARI,23.8,12,-8
21,4,*03ojr*,Vladimir Guerrero Jr.,1B,TOR,25.3,33,12
22,4,*041pz*,Pete Alonso,1B,NYM,29.6,20,-2
23,4,*0512v*,Michael Harris II,OF,ATL,23.3,22,-1
24,4,*04ptt*,Tarik Skubal,P,DET,27.6,35,11
25,4,*01sb3*,Zack Wheeler,P,PHI,34.1,39,14
26,4,*05wru*,Paul Skenes,P,PIT,22.1,83,57
27,4,*02btx*,Tyler Glasnow,P,LAD,30.8,37,10
28,4,*041rd*,Corbin Burnes,P,BAL,29.7,34,6
29,4,*02c68*,Trea Turner,SS,PHI,31,18,-11
30,4,*060pm*,Wyatt Langford,OF,TEX,22.6,27,-3
31,4,*05m1e*,Jackson Chourio,OF,MIL,20.1,28,-3
32,4,*05xch*,Junior Caminero,3B,TB,21,29,-3
