Ranking,Tier,Player,Team,Position,Signed,ETA,Age,Prev Rank,Movement,OBP,Player ID
1,1,Wyatt Langford,TEX,OF,2023,Debuted,22.6,1,0,,*060pm*
2,1,Junior Caminero,TB,3B,2019,Debuted,20.9,2,0,,*05xch*
3,1,Paul Skenes,PIT,P,2023,Debuted,22,9,6,,*05wru*
4,1,James Wood,WSH,OF,2021,2024,21.7,5,1,UP,*05rat*
5,1,Jackson Holliday,BAL,SS,2022,Debuted,20.5,3,-2,UP,*05ybv*
6,2,Jasson Dominguez,NYY,OF,2019,Debuted,21.3,7,1,UP,*050c3*
7,2,Coby Mayo,BAL,3B,2020,2024,22.5,8,1,,*05js5*
8,2,Dylan Crews,WSH,OF,2023,2024,21.9,10,2,UP,*0596e*
9,2,Roman Anthony,BOS,OF,2022,2024,20.1,15,6,,*05u9z*
10,2,Carson Williams,TB,SS,2021,2025,20.9,23,13,UP,*05t9n*
11,2,Jordan Lawlar,ARI,SS,2021,Debuted,21.9,13,2,,*05r1m*
12,2,Walker Jenkins,MIN,OF,2023,2025,19.3,18,6,,*05u3v*
13,3,Noelvi Marte,CIN,3B,2018,Debuted,22.6,20,7,,*04qnd*
14,3,Heston Kjerstad,BAL,UT,2020,Debuted,25.3,25,11,UP,*0596f*
15,3,Emmanuel Rodriguez,MIN,OF,2019,2025,21.3,17,2,UP,*054p6*
16,3,Colt Emerson,SEA,SS,2023,2025,18.9,28,12,,*060ub*
17,3,Andy Pages,LAD,OF,2018,Debuted,23.5,30,13,UP,*04ru5*
18,3,Kyle Manzardo,CLE,1B,2021,Debuted,23.9,26,8,,*05rfu*
19,3,Samuel Basallo,BAL,C,2021,2025,19.8,22,3,UP,*05rbv*
20,3,Matt Shaw,CHC,2B,2023,2024,22.6,11,-9,,*063vu*
21,3,Max Clark,DET,OF,2023,2025,19.5,29,8,,*05u9y*
22,4,Marcelo Mayer,BOS,SS,2021,2024,21.5,39,17,UP,*05r9j*
23,4,Owen Caissie,CHC,OF,2020,2024,21.9,31,8,UP,*05jsg*
24,4,Xavier Isaac,TB,1B,2022,2025,20.5,40,16,UP,*062pp*
25,4,Noah Schultz,CHW,P,2022,2026,20.8,49,24,,*05uc7*
26,4,Andrew Painter,PHI,P,2021,2025,21.2,34,8,,*05r3i*
27,4,Jackson Jobe,DET,P,2021,2025,21.9,19,-8,,*05rb0*
28,4,Chase DeLauter,CLE,OF,2022,2024,22.6,14,-14,,*05uei*
