Ranking,Tier,Player ID,Player,Position,Team,Age,Previous,Movement
1,1,*04lgp*,Bobby Witt Jr.,SS,KC,24.5,1,0
2,1,*02yc4*,Shohei Ohtani,"UT,P",LAD,30.4,2,0
3,1,*050w9*,Gunnar Henderson,"3B,SS",BAL,23.4,3,0
4,1,*03ynj*,Juan Soto,OF,NYY,26.1,4,0
5,2,*05udp*,Elly De La Cruz,"3B,SS",CIN,22.9,5,0
6,2,*02z0s*,Aaron Judge,OF,NYY,32.6,6,0
7,2,*03pir*,Kyle Tucker,OF,HOU,27.9,7,0
8,2,*02611*,Francisco Lindor,SS,NYM,31.1,8,0
9,2,*03ojr*,Vladimir Guerrero Jr.,1B,TOR,25.7,12,3
10,2,*030uc*,Rafael Devers,3B,BOS,28.1,10,0
11,2,*01ub6*,Jose Ramirez,3B,CLE,32.2,11,0
12,2,*02btf*,Mookie Betts,"2B,SS,OF",LAD,32.2,9,-3
13,2,*03wha*,Ronald Acuna Jr.,OF,ATL,27,15,2
14,2,*05m1e*,Jackson Chourio,OF,MIL,20.6,22,8
15,2,*01fh9*,Bryce Harper,1B,PHI,32.1,13,-2
16,3,*04fhb*,Julio Rodriguez,OF,SEA,23.9,14,-2
17,3,*04355*,Yordan Alvarez,OF,HOU,27.4,15,-2
18,3,*060pm*,Wyatt Langford,OF,TEX,23,23,5
19,3,*04y4e*,Corbin Carroll,OF,ARI,24.3,19,0
20,3,*03zbh*,Fernando Tatis Jr.,OF,SD,25.9,20,0
21,3,*04pst*,Jarren Duran,OF,BOS,28.2,21,0
22,3,*04ptt*,Tarik Skubal,P,DET,28,22,0
23,3,*05wru*,Paul Skenes,P,PIT,22.5,23,0
24,4,*05rat*,James Wood,OF,WSH,22.2,24,0
25,4,*03pom*,Austin Riley,3B,ATL,27.7,25,0
26,4,*01cgo*,Freddie Freeman,1B,LAD,35.2,26,0
27,4,*02mwm*,Matt Olson,1B,ATL,30.7,27,0
28,4,*05ua7*,Jackson Merrill,"SS,OF",SD,21.6,28,0
29,4,*02mw6*,Corey Seager,SS,TEX,30.6,16,-13
30,5,*0326s*,Ketel Marte,2B,ARI,31.1,32,2
31,5,*01sb3*,Zack Wheeler,P,PHI,34.5,33,2
32,5,*041ma*,Cole Ragans,P,KC,27,35,3
33,5,*04n0m*,Logan Gilbert,P,SEA,27.6,37,4
34,5,*04yie*,George Kirby,P,SEA,26.8,36,2
35,5,*05ajh*,Garrett Crochet,P,CHW,25.5,46,11
36,5,*05gdz*,Roki Sasaki,P,(N/A),23.2,NR,NA
37,5,*03zlh*,Oneil Cruz,SS,PIT,26.2,38,1
38,5,*02c68*,Trea Turner,SS,PHI,31.4,39,1
39,5,*05xch*,Junior Caminero,3B,TB,21.4,40,1
40,5,*04nb2*,Riley Greene,OF,DET,24.2,43,3
41,6,*05r8n*,Yoshinobu Yamamoto,P,LAD,26.3,79,38
42,6,*03cag*,Kyle Schwarber,OF,PHI,31.8,52,10
43,6,*0512v*,Michael Harris II,OF,ATL,23.7,53,10
44,6,*041pz*,Pete Alonso,1B,NYM,30,30,-14
45,6,*02bqr*,Blake Snell,P,SF,32,55,10
46,6,*03dbm*,Logan Webb,P,SF,28,56,10
47,6,*01spo*,Gerrit Cole,P,NYY,34.2,57,10
48,6,*03df2*,Dylan Cease,P,SD,28.9,72,24
49,6,*05ybv*,Jackson Holliday,"2B,SS",BAL,21,41,-8
50,6,*045qo*,Jazz Chisholm Jr.,OF,NYY,26.8,31,-19
51,6,*03fi0*,Ozzie Albies,2B,ATL,27.9,61,10
52,6,*04qk8*,CJ Abrams,SS,WSH,24.2,49,-3
53,6,*04aeb*,Royce Lewis,3B,MIN,25.5,44,-9
54,6,*041wv*,Michael King,P,SD,29.5,113,59
55,6,*04auj*,Framber Valdez,P,HOU,31,63,8
56,7,*043f9*,Pablo Lopez,P,MIN,28.7,64,8
57,7,*041rd*,Corbin Burnes,P,BAL,30.1,65,8
58,7,*05mre*,Spencer Strider,P,ATL,26.1,66,8
59,7,*05aoc*,Eury Perez,P,MIA,21.6,67,8
60,7,*05h2u*,Jared Jones,P,PIT,23.3,50,-10
61,7,*05vy6*,Bryce Miller,P,SEA,26.3,133,72
62,7,*03e5m*,Bryan Reynolds,OF,PIT,29.9,42,-20
63,7,*05u9z*,Roman Anthony,OF,BOS,20.6,68,5
64,7,*024m0*,Jose Altuve,2B,HOU,34.6,59,-5
65,7,*03yrz*,William Contreras,C,MIL,26.9,70,5
66,7,*04q2n*,Adley Rutschman,C,BAL,26.8,71,5
67,7,*04ps7*,Joe Ryan,P,MIN,28.5,58,-9
68,7,*03nuc*,Luis Castillo,P,SEA,32,45,-23
69,7,*01svq*,Manny Machado,3B,SD,32.4,84,15
70,7,*03pjd*,Josh Naylor,1B,CLE,27.4,75,5
