Ranking,Tier,Player,Team,Position,Signed,ETA,Age,Prev Rank,Movement,OBP,Player ID,In-Person Look
1,1,Jasson Dominguez,NYY,OF,2019,Debuted,21.8,1,0,UP,*050c3*,Y
2,1,Roman Anthony,BOS,OF,2022,2025,20.5,2,0,,*05u9z*,Y
3,2,Andrew Painter,PHI,P,2021,2025,21.6,10,7,,*05r3i*,Y
4,2,Dylan Crews,WSH,OF,2023,Debuted,22.4,6,2,UP,*0596e*,Y
5,2,Coby Mayo,BAL,3B,2020,Debuted,22.9,3,-2,,*05js5*,Y
6,2,Samuel Basallo,BAL,"C,1B",2021,2025,20.3,5,-1,UP,*05rbv*,Y
7,2,Matt Shaw,CHC,"2B,3B,SS",2023,2025,23,21,14,,*063vu*,Y
8,2,Max Clark,DET,OF,2023,2025,19.9,11,3,,*05u9y*,Y
9,2,Sebastian Walcott,TEX,SS,2023,2026,18.7,14,5,,*0662o*,Y
10,2,Walker Jenkins,MIN,OF,2023,2026,19.7,4,-6,,*05u3v*,Y
11,2,Jackson Jobe,DET,P,2021,Debuted,22.3,17,6,,*05rb0*,Y
12,2,Travis Bazzana,CLE,"2B,SS",2024,2025,22.2,8,-4,,*05zde*,
13,3,Emmanuel Rodriguez,MIN,OF,2019,2025,21.7,7,-6,UP,*054p6*,Y
14,3,Kristian Campbell,BOS,"2B,SS,OF",2023,2025,22.4,24,10,,*06f0q*,Y
15,3,Dalton Rushing,LAD,"C,OF",2022,2025,23.7,15,0,UP,*05xtz*,
16,3,Bryce Eldridge,SF,1B,2023,2025,20.1,16,0,,*05u96*,
17,3,Bubba Chandler,PIT,P,2021,2025,22.2,18,1,,*05rik*,Y
18,3,Chase Dollander,COL,P,2023,2025,23.1,19,1,,*05yj0*,Y
19,3,Noah Schultz,CHW,P,2022,2025,21.3,9,-10,,*05uc7*,Y
20,3,Leodalis De Vries,SD,SS,2024,2026,18.1,13,-7,,*067yc*,Y
21,3,Carson Williams,TB,SS,2021,2025,21.4,20,-1,UP,*05t9n*,Y
22,3,JJ Wetherholt,STL,SS,2024,2025,22.2,12,-10,,*06aw3*,
23,3,Nick Kurtz,OAK,1B,2024,2025,21.7,22,-1,,*062k5*,Y
24,3,Zyhir Hope,LAD,OF,2023,2026,19.8,68,44,,*06eyu*,Y
25,3,Colt Emerson,SEA,SS,2023,2026,19.3,35,10,,*060ub*,
26,4,Chase DeLauter,CLE,OF,2022,2025,23.1,26,0,,*05uei*,Y
27,4,Kevin McGonigle,DET,SS,2023,2026,20.2,47,20,,*05yby*,Y
28,4,Marcelo Mayer,BOS,SS,2021,2025,21.9,28,0,UP,*05r9j*,Y
