Ranking,Tier,Player ID,Player,Position,Team,Age,Previous,Movement
1,1,*04lgp*,Bobby Witt Jr.,SS,KC,24.2,1,0
2,1,*02yc4*,Shohei Ohtani,"UT,P",LAD,30.2,3,1
3,1,*050w9*,Gunnar Henderson,"3B,SS",BAL,23.2,2,-1
4,1,*03ynj*,Juan Soto,OF,NYY,25.9,4,0
5,2,*05udp*,Elly De La Cruz,"3B,SS",CIN,22.7,8,3
6,2,*02z0s*,Aaron Judge,OF,NYY,32.4,6,0
7,2,*03pir*,Kyle Tucker,OF,HOU,27.7,5,-2
8,2,*02611*,Francisco Lindor,SS,NYM,30.8,17,9
9,2,*02btf*,Mookie Betts,"2B,SS,OF",LAD,31.9,7,-2
10,2,*030uc*,Rafael Devers,3B,BOS,27.9,9,-1
11,2,*01ub6*,Jose Ramirez,3B,CLE,32,10,-1
12,2,*03ojr*,Vladimir Guerrero Jr.,1B,TOR,25.5,14,2
13,2,*01fh9*,Bryce Harper,1B,PHI,31.9,11,-2
14,3,*04fhb*,Julio Rodriguez,OF,SEA,23.7,12,-2
15,3,*03wha*,Ronald Acuna Jr.,OF,ATL,26.7,13,-2
16,3,*04355*,Yordan Alvarez,OF,HOU,27.2,15,-1
17,3,*05m1e*,Jackson Chourio,OF,MIL,20.3,22,5
18,3,*02mw6*,Corey Seager,SS,TEX,30.4,16,-2
19,3,*04y4e*,Corbin Carroll,OF,ARI,24.1,29,10
20,3,*03zbh*,Fernando Tatis Jr.,OF,SD,25.7,17,-3
21,3,*04pst*,Jarren Duran,OF,BOS,28,26,5
22,3,*04ptt*,Tarik Skubal,P,DET,27.8,20,-2
23,3,*05wru*,Paul Skenes,P,PIT,22.3,21,-2
24,4,*05rat*,James Wood,OF,WSH,22,28,4
25,4,*03pom*,Austin Riley,3B,ATL,27.5,18,-7
26,4,*01cgo*,Freddie Freeman,1B,LAD,35,24,-2
27,4,*02mwm*,Matt Olson,1B,ATL,30.5,25,-2
28,4,*05ua7*,Jackson Merrill,"SS,OF",SD,21.4,49,21
29,4,*060pm*,Wyatt Langford,OF,TEX,22.8,23,-6
30,4,*041pz*,Pete Alonso,1B,NYM,29.8,32,2
31,5,*045qo*,Jazz Chisholm Jr.,OF,NYY,26.6,35,4
32,5,*0326s*,Ketel Marte,2B,ARI,30.9,36,4
33,5,*01sb3*,Zack Wheeler,P,PHI,34.3,38,5
34,5,*02btx*,Tyler Glasnow,P,LAD,31.1,39,5
35,5,*041ma*,Cole Ragans,P,KC,26.8,40,5
36,5,*04yie*,George Kirby,P,SEA,26.6,41,5
37,5,*04n0m*,Logan Gilbert,P,SEA,27.4,42,5
38,5,*03zlh*,Oneil Cruz,SS,PIT,25.9,56,18
39,5,*02c68*,Trea Turner,SS,PHI,31.2,31,-8
40,5,*05xch*,Junior Caminero,3B,TB,21.2,34,-6
41,5,*05ybv*,Jackson Holliday,"2B,SS",BAL,20.8,44,3
42,5,*03e5m*,Bryan Reynolds,OF,PIT,29.6,45,3
43,5,*04nb2*,Riley Greene,OF,DET,24,46,3
44,6,*04aeb*,Royce Lewis,3B,MIN,25.3,50,6
45,6,*03nuc*,Luis Castillo,P,SEA,31.8,51,6
46,6,*05ajh*,Garrett Crochet,P,CHW,25.2,52,6
47,6,*04pko*,Grayson Rodriguez,P,BAL,24.8,53,6
48,6,*02i2j*,Max Fried,P,ATL,30.7,47,-1
49,6,*04qk8*,CJ Abrams,SS,WSH,23.9,37,-12
50,6,*05h2u*,Jared Jones,P,PIT,23.1,47,-3
51,6,*041qo*,Zac Gallen,P,ARI,29.1,57,6
52,6,*03cag*,Kyle Schwarber,OF,PHI,31.5,58,6
53,6,*0512v*,Michael Harris II,OF,ATL,23.5,59,6
54,6,*047l7*,Luis Robert Jr.,OF,CHW,27.1,30,-24
55,6,*02bqr*,Blake Snell,P,SF,31.8,60,5
56,6,*03dbm*,Logan Webb,P,SF,27.8,61,5
57,6,*01spo*,Gerrit Cole,P,NYY,34,62,5
58,6,*04ps7*,Joe Ryan,P,MIN,28.3,63,5
59,6,*024m0*,Jose Altuve,2B,HOU,34.4,49,-10
60,6,*04de1*,Triston Casas,1B,BOS,24.7,68,8
61,6,*03fi0*,Ozzie Albies,2B,ATL,27.7,65,4
62,6,*050c3*,Jasson Dominguez,OF,NYY,21.6,86,24
63,6,*04auj*,Framber Valdez,P,HOU,30.8,80,17
64,7,*043f9*,Pablo Lopez,P,MIN,28.5,67,3
65,7,*041rd*,Corbin Burnes,P,BAL,29.9,27,-38
66,7,*05mre*,Spencer Strider,P,ATL,25.9,93,27
67,7,*05aoc*,Eury Perez,P,MIA,21.4,94,27
68,7,*05u9z*,Roman Anthony,OF,BOS,20.3,87,19
69,7,*05js5*,Coby Mayo,3B,BAL,22.8,33,-36
70,7,*03yrz*,William Contreras,C,MIL,26.7,54,-16
71,7,*04q2n*,Adley Rutschman,C,BAL,26.6,55,-16
72,7,*03df2*,Dylan Cease,P,SD,28.7,69,-3
73,7,*01usi*,Marcell Ozuna,UT,ATL,33.8,70,-3
74,7,*05xu5*,Zach Neto,SS,LAA,23.6,105,31
75,7,*03pjd*,Josh Naylor,1B,CLE,27.2,72,-3
76,7,*05gsc*,Jordan Westburg,"2B,3B",BAL,25.6,73,-3
77,7,*040b5*,Randy Arozarena,OF,SEA,29.5,75,-2
78,7,*04e2u*,Brent Rooker,OF,OAK,29.9,76,-2
79,7,*05r8n*,Yoshinobu Yamamoto,P,LAD,26.1,48,-31
80,7,*01uca*,Chris Sale,P,ATL,35.5,77,-3
81,7,*04aea*,Hunter Greene,P,CIN,25.1,78,-3
82,7,*03dc4*,Freddy Peralta,P,MIL,28.3,79,-3
83,7,*04mlt*,Shane McClanahan,P,TB,27.4,102,19
84,7,*01svq*,Manny Machado,3B,SD,32.2,81,-3
85,7,*03atq*,Willy Adames,SS,MIL,29,163,78
86,7,*02i3o*,Aaron Nola,P,PHI,31.3,83,-3
87,7,*0524l*,Yainer Diaz,C,HOU,26,167,80
88,7,*042sz*,Will Smith,C,LAD,29.5,64,-24
89,7,*05184*,Vinnie Pasquantino,1B,KC,26.9,85,-4
90,7,*025dn*,Christian Yelich,OF,MIL,32.8,66,-24
91,8,*05u3v*,Walker Jenkins,OF,MIN,19.6,91,0
92,8,*05tq1*,Spencer Schwellenbach,P,ATL,24.3,148,56
93,8,*04b02*,Seiya Suzuki,OF,CHC,30.1,88,-5
94,8,*04y9p*,Anthony Volpe,SS,NYY,23.4,99,5
95,8,*05rbv*,Samuel Basallo,C,BAL,20.1,137,42
96,8,*0596e*,Dylan Crews,OF,WSH,22.2,111,15
97,8,*05zde*,Travis Bazzana,"2B,SS",CLE,22,92,-5
98,8,*05ge9*,Shota Imanaga,P,CHC,31,108,10
99,8,*041ps*,Nick Lodolo,P,CIN,26.6,95,-4
100,8,*0425t*,Bailey Ober,P,MIN,29.2,96,-4
101,8,*041qb*,Bo Bichette,SS,TOR,26.5,97,-4
102,8,*04pr8*,Taj Bradley,P,TB,23.5,98,-4
103,8,*05y62*,Bryan Woo,P,SEA,24.6,146,43
104,8,*05y23*,Tanner Bibee,P,CLE,25.5,100,-4
105,8,*03btv*,Sandy Alcantara,P,MIA,29,101,-4
106,8,*04mra*,Ezequiel Tovar,SS,COL,23.1,144,38
107,8,*04y44*,Josh Jung,3B,TEX,26.6,103,-4
108,8,*02mw3*,Christian Walker,1B,ARI,33.5,74,-34
109,8,*025gb*,Xander Bogaerts,"2B,SS",SD,32,107,-2
110,8,*02w16*,Anthony Santander,"1B,OF",BAL,29.9,110,0
111,8,*02xic*,Teoscar Hernandez,OF,LAD,31.9,118,7
112,8,*04mn5*,Alec Bohm,"1B,3B",PHI,28.1,90,-22
113,8,*041wv*,Michael King,P,SD,29.3,155,42
114,8,*04pks*,Matt McLain,"2B,SS",CIN,25.1,117,3
115,8,*04prt*,Lawrence Butler,OF,OAK,24.2,226,111
116,8,*04qnc*,Francisco Alvarez,C,NYM,22.8,84,-32
117,8,*05gwy*,Masyn Winn,SS,STL,22.5,132,15
118,8,*03120*,Cody Bellinger,"1B,OF",CHC,29.2,119,1
119,9,*0512m*,Ryan Pepiot,P,TB,27.1,114,-5
120,9,*054p6*,Emmanuel Rodriguez,OF,MIN,21.5,135,15
121,9,*0513l*,Brenton Doyle,OF,COL,26.3,116,-5
122,9,*041ah*,Josh Lowe,OF,TB,26.6,154,32
123,9,*03nmw*,Ian Happ,OF,CHC,30.1,166,43
124,9,*0512e*,Spencer Steer,"1B,2B,3B,OF",CIN,26.8,82,-42
125,9,*03deg*,Justin Steele,P,CHC,29.2,109,-16
126,9,*03d6s*,Matt Chapman,3B,SF,31.1,151,25
127,9,*02hi7*,Kevin Gausman,P,TOR,33.7,122,-5
128,9,*01s8u*,Mike Trout,OF,LAA,33.1,123,-5
129,9,*03d6w*,Jack Flaherty,P,LAD,28.9,124,-5
130,9,*02yk4*,Tyler O'Neill,OF,BOS,29.2,125,-5
131,9,*05ras*,Colton Cowser,OF,BAL,24.5,120,-11
132,9,*04cwf*,Shane Baz,P,TB,25.2,126,-6
133,9,*05vy6*,Bryce Miller,P,SEA,26.1,127,-6
134,9,*05uc7*,Noah Schultz,P,CHW,21.1,128,-6
135,9,*05r3i*,Andrew Painter,P,PHI,21.4,160,25
136,9,*03i81*,Reynaldo Lopez,P,ATL,30.7,157,21
137,9,*03zcy*,Mark Vientos,"1B,3B",NYM,24.8,191,54
138,9,*05u9y*,Max Clark,OF,DET,19.7,170,32
139,9,*05jrh*,Colt Keith,"2B,3B",DET,23.1,124,-15
140,9,*02w7p*,Alex Bregman,3B,HOU,30.5,165,25
141,9,*063vu*,Matt Shaw,2B,CHC,22.9,138,-3
142,9,*06aw3*,JJ Wetherholt,3B,STL,22,140,-2
143,9,*067yc*,Leodalis De Vries,SS,SD,17.9,139,-4
144,9,*06alk*,Charlie Condon,1B,COL,21.4,89,-55
145,10,*02i2q*,Carlos Correa,SS,MIN,30,142,-3
146,10,*0662o*,Sebastian Walcott,SS,TEX,18.5,143,-3
147,10,*05jp7*,Gavin Williams,P,CLE,25.1,129,-18
148,10,*03djk*,Tanner Houck,P,BOS,28.2,147,-1
149,10,*02bu9*,Marcus Semien,2B,TEX,34,106,-43
150,10,*05gwz*,Bobby Miller,P,LAD,25.4,136,-14
151,10,*02bqy*,Joe Musgrove,P,SD,31.8,179,28
