Ranking,Tier,Player,Team,Position,Signed,ETA,Age,Prev Rank,Movement,OBP,Player ID,In-Person Look
1,1,Jasson Dominguez,NYY,OF,2019,Debuted,21.6,5,4,UP,*050c3*,Y
2,1,Junior Caminero,TB,3B,2019,Debuted,21.2,1,-1,,*05xch*,Y
3,2,Roman Anthony,BOS,OF,2022,2024,20.3,4,1,,*05u9z*,Y
4,2,Coby Mayo,BAL,3B,2020,Debuted,22.8,2,-2,,*05js5*,Y
5,2,Walker Jenkins,MIN,OF,2023,2025,19.6,7,2,,*05u3v*,Y
6,2,Samuel Basallo,BAL,C,2021,2025,20.1,15,9,UP,*05rbv*,Y
7,2,Dylan Crews,WSH,OF,2023,Debuted,22.2,9,2,UP,*0596e*,Y
8,2,Emmanuel Rodriguez,MIN,OF,2019,2025,21.5,10,2,UP,*054p6*,Y
9,2,Travis Bazzana,CLE,"2B,SS",2024,2025,22,8,-1,,*05zde*,
10,2,Noah Schultz,CHW,P,2022,2025,21.1,11,1,,*05uc7*,Y
11,2,Andrew Painter,PHI,P,2021,2025,21.4,12,1,,*05r3i*,
12,3,Max Clark,DET,OF,2023,2025,19.7,19,7,,*05u9y*,Y
13,3,JJ Wetherholt,STL,3B,2024,2025,22,14,1,,*06aw3*,
14,3,Leodalis De Vries,SD,SS,2024,2026,17.9,17,3,,*067yc*,
15,3,Sebastian Walcott,TEX,SS,2023,2026,18.5,16,1,,*0662o*,Y
16,3,Dalton Rushing,LAD,C,2022,2025,23.6,41,25,UP,*05xtz*,
17,3,Bryce Eldridge,SF,OF,2023,2026,19.9,34,17,,*05u96*,
18,3,Charlie Condon,COL,1B,2024,2025,21.4,6,-12,,*06alk*,Y
19,3,Jackson Jobe,DET,P,2021,2025,22.1,13,-6,,*05rb0*,Y
20,3,Bubba Chandler,PIT,P,2021,2025,22,36,16,,*05rik*,Y
21,3,Chase Dollander,COL,P,2023,2025,22.9,37,16,,*05yj0*,
22,3,Carson Williams,TB,SS,2021,2025,21.2,18,-4,UP,*05t9n*,Y
23,3,Matt Shaw,CHC,2B,2023,2024,22.8,25,2,,*063vu*,
24,3,Jac Caglianone,KC,1B,2024,2025,21.6,21,-3,,*05u9q*,Y
25,3,Nick Kurtz,OAK,1B,2024,2025,21.5,29,4,,*062k5*,
26,3,Lazaro Montes,SEA,"1B,OF",2022,2025,19.9,32,6,UP,*05rfc*,
27,3,Kristian Campbell,BOS,SS,2023,2025,22.2,48,21,,*06f0q*,Y
28,3,Jordan Lawlar,ARI,SS,2021,Debuted,22.2,27,-1,,*05r1m*,
29,4,Chase DeLauter,CLE,OF,2022,2025,22.9,28,-1,,*05uei*,Y
30,4,Owen Caissie,CHC,OF,2020,2024,22.2,30,0,UP,*05jsg*,Y
31,4,Marcelo Mayer,BOS,SS,2021,2025,21.7,20,-11,UP,*05r9j*,Y
32,4,Braden Montgomery,BOS,OF,2024,2026,21.4,33,1,,*05rcg*,Y
33,4,Colson Montgomery,CHW,"3B,SS",2021,2024,22.5,24,-9,,*05rch*,Y
34,4,Quinn Mathews,STL,P,2023,2025,23.9,55,21,,*060gd*,
35,4,Travis Sykora,WSH,P,2023,2026,20.4,96,61,,*05ycl*,Y
36,4,Kumar Rocker,TEX,P,2022,2025,24.8,255,219,,*04azu*,
37,4,Thomas White,MIA,P,2023,2026,19.9,72,35,,*05tp6*,
38,4,Jonny Farmelo,SEA,SS,2023,2026,20,38,0,,*066sx*,
39,4,Josue De Paula,LAD,OF,2022,2026,19.3,78,39,,*061zv*,
