Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",16,6,22,2.49168,31,31,0,0,,187,754,142,56,52,14,54,,8,240,11.5943,2.58882,4.4786,0.690846,0.319093,0.0712484,0.24784453958272934,0.204964,1.0478,0.291588,0.792713,,,2.57348,5.80644,6.7642,11.600000381469727,,,,,,,1136.3999999999999,6.077005347593582,1047,5.598930481283422,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Tarik Skubal","DET",16,8,22,2.72796,32,32,0,0,,201,807,159,67,61,19,46,,8,233,10.3961,2.05983,5.04704,0.857077,0.288417,0.0571458,0.23127159476280212,0.211034,1.0176,0.278838,0.776388,,,2.89696,5.34402,5.99406,13.029999732971191,,,,,,,1144.3000000000002,5.693034825870647,1062,5.2835820895522385,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",14,8,20,2.99612,31,31,0,0,,169,679,134,61,56,17,50,,7,216,11.5302,2.66051,4.33382,0.88773,0.31841,0.073471,0.24493901431560516,0.214724,1.08727,0.300387,0.762417,,,2.89648,4.59169,4.92137,22.770000457763672,,,,,,,954.1000000000003,5.645562130177516,885,5.236686390532545,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Zack Wheeler","PHI",14,9,20,3.23783,32,32,0,0,,204,830,170,80,73,24,53,,8,221,9.75975,2.36031,4.13495,1.05527,0.265814,0.0642848,0.20152942836284637,0.22054,1.09523,0.277917,0.754282,,,3.42985,4.44318,4.98367,20.6299991607666,,,,,,,1031.4,5.055882352941177,967,4.740196078431373,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Logan Webb","SFG",14,10,19,3.51121,32,32,0,0,,207,862,206,88,81,16,46,,8,179,7.81408,1.99476,3.9173,0.701273,0.208131,0.0531312,0.15499940887093544,0.254733,1.21769,0.309758,0.714033,,,3.22717,4.28366,4.03136,101.80000305175781,,,,,,,995.4000000000002,4.808695652173914,1023,4.942028985507246,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Chris Sale","ATL",13,9,19,3.30496,31,31,0,0,,186,750,157,74,68,20,51,,8,215,10.4066,2.48036,4.19559,0.968924,0.286391,0.06826,0.21813081204891205,0.226959,1.12019,0.299884,0.741756,,,3.20174,4.16149,4.46811,35.13999938964844,,,,,,,975.2,5.243010752688172,923,4.962365591397849,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Logan Gilbert","SEA",15,9,21,3.11073,32,32,0,0,,204,828,168,77,70,25,45,,8,214,9.48479,2.00318,4.73488,1.09295,0.258957,0.0546914,0.20426585152745247,0.216182,1.04581,0.266563,0.763077,,,3.42217,3.91501,4.52283,24.43000030517578,,,,,,,1034.3000000000002,5.070098039215687,964,4.7254901960784315,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Framber Valdez","HOU",13,8,18,3.24254,29,29,0,0,,186,770,161,73,67,15,59,,8,184,8.90229,2.86371,3.10866,0.746067,0.238892,0.0768474,0.16204485297203064,0.228672,1.18249,0.288595,0.739833,,,3.34852,3.784,4.20947,62.20000076293945,,,,,,,940.3000000000001,5.055376344086022,902,4.849462365591398,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Jacob deGrom","TEX",12,7,17,2.98169,26,26,0,0,,152,600,114,55,50,19,38,,6,187,11.0937,2.25965,4.90951,1.1247,0.311231,0.0633935,0.24783741682767868,0.204885,1.00307,0.27112,0.774312,,,3.19625,3.72352,4.07383,39.400001525878906,,,,,,,836.6999999999999,5.504605263157894,755,4.967105263157895,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Pablo López","MIN",13,10,19,3.61256,32,32,0,0,,198,818,178,87,80,25,51,,8,206,9.36157,2.31087,4.0511,1.11624,0.25232,0.0622842,0.1900353990495205,0.234576,1.15405,0.290597,0.729938,,,3.59038,3.68033,3.51203,64.29000091552734,,,,,,,929.9000000000001,4.696464646464647,900,4.545454545454546,,,,,,,,,,,,,,,,,,,"Pablo Lopez","17085",641154
