Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Paul Skenes","PIT",13.219,8.6142,21.1102,2.79865,30.78,30.78,0,0,188.104,759.404,147.024,64.6786,58.4931,15.7172,55.0105,,7.5265,242.235,11.5899,2.63202,4.40343,0.752,0.31898,0.072439,0.24654096364974976,0.210978,1.07405,0.299161,0.762959,0.470317,,2.67454,5.78054,5.77048,12.210000038146973,,,,"33677"
"Jacob deGrom","TEX",11.2286,6.7706,16.6157,2.84183,25.92,25.92,0,0,152.018,601.811,115.328,52.0971,48.0009,17.0091,30.0352,,4.924,205.907,12.1904,1.7782,6.85551,1.007,0.342145,0.049908,0.29223693534731865,0.203454,0.956229,0.285865,0.767304,0.382932,,2.60195,5.15873,4.3575,35.56999969482422,,,,"10954"
"Tarik Skubal","DET",13.1551,9.6145,21.5733,2.93595,32,32,0,0,196.234,788.405,161.197,70.2605,64.0148,19.8196,45.1118,,8.0023,229.412,10.5216,2.06899,5.0854,0.909,0.290982,0.0572191,0.2337629683315754,0.219229,1.05134,0.290864,0.761914,0.435915,,2.95334,5.03997,5.11249,13.710000038146973,,,,"22267"
"Garrett Crochet","BOS",12.3638,8.4407,17.3966,3.0327,30.78,30.78,0,0,170.138,683.835,132.803,62.5452,57.3309,16.6168,51.7164,,6.5375,220.285,11.6527,2.7357,4.25948,0.879,0.322132,0.075627,0.24650506675243378,0.212288,1.08453,0.298926,0.756402,0.439859,,2.87384,4.79988,4.88148,32.93000030517578,,,,"27463"
"Zack Wheeler","PHI",13.4848,9.404,20.5687,3.32692,32,32,0,0,198.518,810.278,171.44,79.9511,73.3837,22.7193,50.9673,,8.6651,212.476,9.63279,2.31065,4.16887,1.03,0.262226,0.062901,0.19932492077350616,0.22839,1.12034,0.288526,0.747408,0.426213,,3.4148,4.63962,4.75359,20.709999084472656,,,,"10310"
"Chris Sale","ATL",13.8501,7.8705,19.952,3.07676,30.78,30.78,0,0,186.772,754.635,152.579,69.6176,63.8503,19.6318,46.9903,,8.9741,230.497,11.107,2.26432,4.90521,0.946,0.305442,0.0622689,0.24317291751503944,0.218385,1.06852,0.296398,0.755161,0.425511,,2.96363,4.48239,4.93841,37.36000061035156,,,,"10603"
"Corbin Burnes",,12.2711,10.6128,19.2681,3.64355,32,32,0,0,197.374,822.047,182.058,87.0237,79.9045,22.2374,55.05,,7.4116,201.633,9.19425,2.51022,3.66273,1.014,0.245282,0.066967,0.17831512540578842,0.239681,1.20132,0.298332,0.728651,0.453,,3.53737,3.8746,3.58454,37.709999084472656,,,,"19361"
"Tyler Glasnow","LAD",10.5092,6.436,14.7115,3.23701,24.3,24.3,0,0,143.689,580.56,117.51,56.287,51.6801,16.0772,40.7181,,3.5646,178.215,11.1626,2.5504,4.3768,1.007,0.306971,0.0701359,0.23683495819568634,0.219121,1.10119,0.2966,0.751113,0.449349,,3.06502,3.69593,3.45214,105.70999908447266,,,,"14374"
"Sonny Gray","STL",12.0275,9.6685,18.4126,3.4351,30.78,30.78,0,0,184.766,765.391,165.436,77.0267,70.5209,19.6467,51.3692,,6.8365,197.538,9.62213,2.50221,3.84545,0.957,0.258087,0.067115,0.1909722089767456,0.233935,1.1734,0.297528,0.738397,0.447268,,3.35564,3.69176,3.83891,105.63999938964844,,,,"12768"
"Framber Valdez","HOU",12.684,9.5801,20.0516,3.43521,30.78,30.78,0,0,194.848,809.504,182.611,82.3885,74.3714,16.5187,62.4014,,9.0737,187.28,8.65047,2.88232,3.00122,0.763,0.231352,0.077086,0.15426594763994217,0.247431,1.25746,0.3109,0.732916,0.567966,,3.44674,3.69143,3.81418,64.20999908447266,,,,"17295"
"Pablo López","MIN",12.1187,10.5182,18.6458,3.62322,32,32,0,0,193.107,798.952,177.714,84.2799,77.7409,23.3015,48.0745,,8.6191,202.899,9.4564,2.24058,4.22052,1.086,0.253957,0.060172,0.19378496333956718,0.239423,1.16924,0.299215,0.732573,0.431035,,3.51448,3.6364,3.46792,64,,,,"17085"
"Cole Ragans","KCR",11.9812,9.5898,17.7753,3.52092,30.78,30.78,0,0,182.633,764.153,156.592,77.5308,71.4483,19.4199,69.0267,,6.4907,207.037,10.2026,3.40159,2.99937,0.957,0.270936,0.090331,0.18060507625341415,0.227395,1.23537,0.296794,0.746295,0.406675,,3.52205,3.62383,3.98826,47.43000030517578,,,,"21846"
"Dylan Cease","SDP",12.596,9.7702,18.304,3.53034,32,32,0,0,188.994,788.13,156.349,80.0896,74.1346,22.4902,70.4675,,6.4438,224.202,10.6766,3.35571,3.18163,1.071,0.284473,0.089411,0.19506211578845978,0.219833,1.20013,0.288162,0.751174,0.380462,,3.56175,3.61127,3.69895,45.63999938964844,,,,"18525"
"Blake Snell","LAD",12.6433,8.7015,17.2389,3.52532,30.78,30.78,0,0,179.426,752.309,142.438,76.0392,70.2814,21.8102,77.2922,,5.3504,233.085,11.6915,3.87698,3.01563,1.094,0.309826,0.10274,0.20708590745925903,0.2127,1.22463,0.29083,0.759483,0.397857,,3.53037,3.59494,3.56976,44.93000030517578,,,,"13543"
"Logan Webb","SFG",12.3446,10.7587,20.437,3.48401,32,32,0,0,201.109,841.11,202.948,86.4471,77.8519,16.8485,45.2071,,6.4463,174.917,7.82786,2.0231,3.86924,0.754,0.20796,0.053747,0.15421301126480103,0.257073,1.23393,0.311364,0.720087,0.558832,,3.28659,3.55725,3.52707,97.56999969482422,,,,"17995"
"Logan Gilbert","SEA",12.2155,10.7531,20.2809,3.41898,32,32,0,0,198.742,807.893,176.232,81.8571,75.4994,24.9531,42.8329,,6.1044,207.723,9.40672,1.93968,4.84962,1.13,0.257117,0.053018,0.20409905537962914,0.232203,1.10226,0.287449,0.745166,0.405621,,3.44703,3.52149,3.47475,26.290000915527344,,,,"22250"
"Joe Ryan","MIN",10.6628,9.5748,15.4584,3.75301,29.16,29.16,0,0,169.103,694.47,149.555,75.198,70.5163,24.7267,39.1792,,7.0961,187.967,10.0039,2.08519,4.79761,1.316,0.270662,0.056416,0.2142459787428379,0.230726,1.11609,0.286632,0.736689,0.327803,,3.66522,3.36119,2.87747,88.06999969482422,,,,"21390"
"Sandy Alcantara","MIA",10.2336,11.2051,18.4215,3.82922,29.16,29.16,0,0,188.83,791.407,187.615,87.5879,80.3412,20.7923,47.6712,,7.5928,170.304,8.11701,2.2721,3.57247,0.991,0.215191,0.060236,0.1549551747739315,0.254862,1.24602,0.306071,0.716367,0.479823,,3.67214,3.31694,3.25024,154.57000732421875,,,,"18684"
