Prospect,Rank,Team,Pos,Age,ETA,Signed,Level
Corbin Carroll,1,ARI,OF,22,2022,2019,Majors
Gunnar Henderson,2,BAL,3B,21,2022,2019,Majors
Jordan Lawlar,3,ARI,SS,20,2023,2021,AA
Jordan Walker,4,STL,OF,20,2023,2020,AAA
Jackson Chourio,5,MIL,OF,19,2024,2021,AA
Elly De La Cruz,6,CIN,SS,21,2023,2018,AA
Kyle Manzardo,7,TB,1B,22,2024,2021,AA
Miguel Vargas,8,LAD,1B,23,2022,2017,Majors
Royce Lewis,9,MIN,SS,23,2022,2017,Majors
Druw Jones,10,ARI,OF,19,2025,2022,Rookie
James Wood,11,WAS,OF,20,2024,2021,A
Jackson Holliday,12,BAL,SS,19,2025,2022,A
Josh Jung,13,TEX,3B,25,2022,2019,Majors
Curtis Mead,14,TB,2B,22,2023,2018,AAA
Anthony Volpe,15,NYY,SS,21,2023,2019,AAA
Andrew Painter,16,PHI,P,19,2023,2021,AA
Grayson Rodriguez,17,BAL,P,23,2023,2018,Majors
Eury Perez,18,MIA,P,19,2023,2019,AA
Ricky Tiedemann,19,TOR,P,20,2023,2021,AA
Termarr Johnson,20,PIT,2B,18,2025,2022,A
Triston Casas,21,BOS,1B,23,2022,2018,Majors
Colton Cowser,22,BAL,OF,22,2023,2021,AAA
Elijah Green,23,WAS,OF,19,2026,2022,Rookie
Oswald Peraza,24,NYY,SS,22,2022,2016,Majors
Ezequiel Tovar,25,COL,SS,21,2022,2017,Majors
Jackson Merrill,26,SD,SS,19,2025,2021,A+
Hunter Brown,27,HOU,P,24,2022,2019,Majors
Kyle Harrison,28,SF,P,21,2023,2020,AAA
Gavin Williams,29,CLE,P,23,2023,2021,AA
Jasson Dominguez,30,NYY,OF,20,2024,2019,AA
Connor Norby,31,BAL,2B,22,2023,2021,AAA
Brett Baty,32,NYM,3B,23,2022,2019,Majors
Marcelo Mayer,33,BOS,SS,20,2024,2021,A+
Evan Carter,34,TEX,OF,20,2024,2020,AA
Brayan Rocchio,35,CLE,SS,22,2023,2017,AAA
Everson Pereira,36,NYY,OF,21,2024,2017,AA
Noelvi Marte,37,CIN,3B,21,2024,2018,AA
Matt Mervis,38,CHC,1B,24,2023,2020,AAA
Sal Frelick,39,MIL,OF,22,2023,2021,AAA
Esteury Ruiz,40,OAK,OF,24,2022,2015,Majors
Brandon Pfaadt,41,ARI,P,24,2023,2020,AAA
Daniel Espino,42,CLE,P,22,2024,2019,AA
Endy Rodriguez,43,PIT,C,22,2023,2018,AAA
Pete Crow-Armstrong,44,CHC,OF,20,2024,2020,AA
Cam Collier,45,CIN,3B,18,2025,2022,Rookie
Zach Neto,46,LAA,SS,22,2023,2022,AA
Gavin Stone,47,LAD,P,24,2023,2020,AAA
Bobby Miller,48,LAD,P,23,2023,2020,AAA
Taj Bradley,49,TB,P,21,2023,2018,AAA
Francisco Alvarez,50,NYM,DH,21,2022,2018,Majors
Bo Naylor,51,CLE,C,23,2022,2018,AAA
Christian Encarnacion-Strand,52,CIN,3B,23,2023,2021,AA
Emmanuel Rodriguez,53,MIN,OF,20,2025,2019,A
Junior Caminero,54,TB,3B,19,2025,2019,A
Colson Montgomery,55,CWS,3B,21,2024,2021,AA
Harry Ford,56,SEA,C,20,2025,2021,A
Tyler Soderstrom,57,OAK,1B,21,2023,2020,AAA
Dustin Harris,58,TEX,OF,23,2023,2019,AAA
Oscar Colas,59,CWS,OF,24,2023,2022,Majors
Zac Veen,60,COL,OF,21,2024,2020,AA
Hayden Wesneski,61,CHC,P,25,2022,2019,Majors
DL Hall,62,BAL,P,24,2022,2017,Majors
Marco Luciano,63,SF,SS,21,2024,2018,AA
Coby Mayo,64,BAL,3B,21,2024,2020,AA
Logan O'Hoppe,65,LAA,C,23,2022,2018,Majors
Will Brennan,66,CLE,OF,25,2022,2019,Majors
Edouard Julien,67,MIN,2B,23,2023,2019,AA
James Outman,68,LAD,OF,25,2022,2018,Majors
Jordan Westburg,69,BAL,SS,24,2023,2020,AAA
Masyn Winn,70,STL,SS,20,2023,2020,AA
Edwin Arroyo,71,CIN,SS,19,2025,2021,A
Jett Williams,72,NYM,SS,19,2025,2022,Rookie
Brooks Lee,73,MIN,SS,22,2024,2022,AA
Kevin Parada,74,NYM,C,21,2024,2022,Rookie
Diego Cartaya,75,LAD,C,21,2024,2018,A+
Chase DeLauter,76,CLE,OF,21,2024,2022,Rookie
Colt Keith,77,DET,3B,21,2024,2020,AA
Pedro Leon,78,HOU,OF,24,2023,2021,AAA
Brennen Davis,79,CHC,OF,23,2023,2018,AAA
Austin Wells,80,NYY,C,23,2023,2020,AA
Drew Gilbert,81,HOU,OF,22,2024,2022,A
Spencer Jones,82,NYY,OF,21,2024,2022,A
Dalton Rushing,83,LAD,C,22,2024,2022,A
Robert Hassell,84,WAS,OF,21,2024,2020,AA
Tink Hence,85,STL,P,20,2025,2020,A
Brady House,86,WAS,3B,19,2025,2021,A+
Josue De Paula,87,LAD,OF,17,2026,2022,Rookie
Miguel Bleis,88,BOS,OF,19,2026,2021,Rookie
Mason Auer,89,TB,OF,22,2024,2021,A+
Yiddi Cappe,90,MIA,SS,20,2025,2021,A
Nick Yorke,91,BOS,2B,20,2024,2020,A+
Henry Davis,92,PIT,C,23,2023,2021,AA
Luis Ortiz,93,PIT,P,24,2022,2018,Majors
Drey Jameson,94,ARI,P,25,2022,2019,Majors
Cody Morris,95,CLE,P,26,2022,2018,Majors
Kyle Muller,96,OAK,P,25,2021,2016,Majors
Max Meyer,97,MIA,P,24,2022,2020,Majors
Jordan Diaz,98,OAK,2B,22,2022,2016,AAA
Drew Waters,99,KC,OF,24,2022,2017,Majors
Garrett Mitchell,100,MIL,OF,24,2022,2020,Majors
Dylan Beavers,101,BAL,OF,21,2024,2022,A+
Ceddanne Rafaela,102,BOS,OF,22,2024,2017,AAA
Joey Wiemer,103,MIL,OF,24,2023,2020,AAA
Joey Ortiz,104,BAL,SS,24,2023,2019,Majors
Bryan Ramos,105,CWS,3B,21,2024,2018,AA
Xavier Isaac,106,TB,1B,19,2025,2022,Rookie
Lazaro Montes,107,SEA,OF,18,2026,2022,Rookie
Gabriel Gonzalez,108,SEA,OF,19,2025,2021,A
Tanner Bibee,109,CLE,P,24,2023,2021,AA
Alex Ramirez,110,NYM,OF,20,2024,2019,A+
Felnin Celesten,111,SEA,SS,17,2027,2023,Rookie
Robert Gasser,112,MIL,P,23,2023,2021,AAA
Mason Montgomery,113,TB,P,22,2024,2021,AA
Adael Amador,114,COL,SS,19,2024,2019,A
Samuel Zavala,115,SD,OF,18,2025,2021,A
Anthony Gutierrez,116,TEX,OF,18,2025,2022,Rookie
Cade Cavalli,117,WAS,P,24,2022,2020,Majors
Ryne Nelson,118,ARI,P,25,2022,2019,Majors
Cooper Hjerpe,119,STL,P,21,2024,2022,Rookie
Brandon Barriera,120,TOR,P,19,2025,2022,Rookie
Jarlin Susana,121,WAS,P,18,2026,2022,A
Cade Horton,122,CHC,P,21,2024,2022,Rookie
Dylan Lesko,123,SD,P,19,2026,2022,Rookie
Bubba Chandler,124,PIT,P,20,2025,2021,A
Connor Prielipp,125,MIN,P,22,2025,2022,Rookie
Emmet Sheehan,126,LAD,P,23,2024,2021,AA
Jose Rodriguez,127,CWS,2B,21,2023,2018,AA
Eric Brown,128,MIL,SS,22,2024,2022,A
George Valera,129,CLE,OF,22,2023,2017,AAA
Addison Barger,130,TOR,SS,23,2023,2018,AAA
Jonny DeLuca,131,LAD,OF,24,2023,2019,AA
Gavin Cross,132,KC,OF,22,2024,2022,A
Jud Fabian,133,BAL,OF,22,2024,2022,A+
Spencer Steer,134,CIN,3B,25,2022,2019,Majors
Matt Wallner,135,MIN,OF,25,2022,2019,Majors
Cole Young,136,SEA,SS,19,2025,2022,Rookie
Mick Abel,137,PHI,P,21,2024,2020,AA
AJ Smith-Shawver,138,ATL,P,20,2025,2021,A
Ethan Salas,139,SD,C,16,2027,2023,Rookie
Jacob Misiorowski,140,MIL,P,20,2024,2022,A
Benny Montgomery,141,COL,OF,20,2026,2021,A
Luis Matos,142,SF,OF,21,2024,2018,A+
Chase Silseth,143,LAA,P,22,2022,2021,Majors
Zack Gelof,144,OAK,2B,23,2023,2021,AAA
Vaun Brown,145,SF,OF,24,2024,2021,AA
Luisangel Acuna,146,TEX,SS,21,2024,2018,AA
Alec Burleson,147,STL,OF,24,2022,2020,Majors
Mason Miller,148,OAK,P,24,2024,2021,AAA
Casey Schmitt,149,SF,3B,24,2024,2020,AAA
Carson Williams,150,TB,SS,19,2025,2021,A
Yasser Mercedes,151,MIN,OF,18,2026,2022,Rookie
Jacob Berry,152,MIA,3B,21,2024,2022,A
Ken Waldichuk,153,OAK,P,25,2022,2019,Majors
Tyler Gentry,154,KC,OF,24,2023,2020,AAA
Justin Dirden,155,HOU,OF,25,2023,2020,AAA
Landon Sims,156,ARI,P,22,2025,2022,Rookie
Angel Martinez,157,CLE,SS,21,2024,2018,AA
Blaze Jordan,158,BOS,1B,20,2024,2020,A+
Freddy Tarnok,159,OAK,P,24,2022,2017,Majors
Ryan Pepiot,160,LAD,P,25,2022,2019,Majors
Owen White,161,TEX,P,23,2024,2018,AA
Ronny Mauricio,162,NYM,SS,21,2024,2017,AA
Bryce Miller,163,SEA,P,24,2024,2021,AA
Nick Nastrini,164,LAD,P,23,2024,2021,AA
Landen Roupp,165,SF,P,24,2024,2021,AA
Ben Brown,166,CHC,P,23,2024,2017,AA
Jake Eder,167,MIA,P,24,2024,2020,AA
Brice Turang,168,MIL,SS,23,2023,2018,Majors
Jackson Jobe,169,DET,P,20,2025,2021,A+
Wuilfredo Antunez,170,CLE,OF,20,2025,2019,A
Aaron Zavala,171,TEX,OF,22,2024,2021,AA
