FANTASY TEAM,PLAYER,TEAM,POS
Benny,Andrew Benintendi,NYY,OF
Benny,Anthony Bass,TOR,RP
Benny,Brad Keller,KC,RP
Benny,Brandon Marsh,PHI,OF
Benny,Cal Quantrill,CLE,SP
Benny,Clarke Schmidt,NYY,RP
Benny,Dylan Carlson,STL,OF
Benny,Edward Cabrera,MIA,SP
Benny,Jesus Luzardo,MIA,SP
Benny,Keibert Ruiz,WSH,C
Benny,Merrill Kelly,ARI,SP
Benny,Nicky Lopez,KC,2B 3B SS
Benny,Patrick Sandoval,LAA,SP
Benny,Trey Mancini,HOU,1B OF
Benny,Tyler Rogers,SF,RP
DeepFA,Alexis Diaz,CIN,SP
DeepFA,Collin McHugh,ATL,RP
DeepFA,David Bednar,PIT,RP
DeepFA,Dennis Santana,TEX,RP
DeepFA,DJ LeMahieu,NYY,1B 2B 3B
DeepFA,Jeimer Candelario,DET,3B
DeepFA,Joey Meneses,WSH,1B OF
DeepFA,Jordan Hicks,STL,SP
DeepFA,Josh Hader,SD,RP
DeepFA,JT Brubaker,PIT,SP
DeepFA,Jurickson Profar,MIL,OF
DeepFA,Kyle Farmer,CIN,3B SS
DeepFA,Kyle Nelson,ARI,RP
DeepFA,Luis Arraez,MIN,1B 2B
DeepFA,Luis Urias,MIL,2B 3B SS
DeepFA,Manuel Margot,TB,OF
DeepFA,Michael Wacha,BOS,SP
DeepFA,Miles Mikolas,STL,SP
DeepFA,Tim Mayza,TOR,RP
DeepFA,Tony Santillan,CIN,SP
DeepFA,Yoan Moncada,CHW,3B
Dumb,Brendan Rodgers,COL,2B
Dumb,Carlos Carrasco,NYM,SP
Dumb,Gavin Lux,LAD,2B OF
Dumb,Isaac Paredes,TB,1B 2B 3B
Dumb,Isiah Kiner-Falefa,NYY,SS
Dumb,Jack Flaherty,STL,SP
Dumb,Jameson Taillon,NYY,SP
Dumb,Jean Segura,PHI,2B
Dumb,Jeff McNeil,NYM,2B OF
Dumb,Jo Adell,LAA,OF
Dumb,Liam Hendriks,CHW,RP
Dumb,Lucas Giolito,CHW,SP
Dumb,Matt Chapman,TOR,3B
Dumb,Max Kepler,MIN,OF
Dumb,Nick Madrigal,CHC,2B
Dumb,Roansy Contreras,PIT,SP
Dumb,Rodolfo Castro,PIT,2B 3B
Dumb,Trevor Bauer,LAD,SP
Dumb,Tyler Anderson,LAD,SP
Eephus,Aaron Hicks,NYY,OF
Eephus,Adam Wainwright,STL,SP
Eephus,Amed Rosario,CLE,SS
Eephus,Andrew McCutchen,MIL,OF
Eephus,Austin Meadows,DET,OF
Eephus,Austin Slater,SF,OF
Eephus,Chris Bassitt,NYM,SP
Eephus,Daniel Bard,COL,RP
Eephus,David Peterson,NYM,SP
Eephus,David Robertson,PHI,RP
Eephus,Jarred Kelenic,SEA,OF
Eephus,John Schreiber,BOS,RP
Eephus,Jorge Soler,MIA,OF
Eephus,Jose Alvarado,PHI,RP
Eephus,Jose Siri,TB,OF
Eephus,Ketel Marte,ARI,2B
Eephus,Kolten Wong,MIL,2B
Eephus,Kyle Finnegan,WSH,RP
Eephus,Kyle Gibson,PHI,SP
Eephus,Luis Garcia,WSH,2B SS
Eephus,Mike Soroka,ATL,SP
Eephus,Mitch Keller,PIT,SP
Eephus,Myles Straw,CLE,OF
Eephus,Nick Martinez,SD,RP
Eephus,Robert Suarez,SD,RP
Eephus,Ryan Mountcastle,BAL,1B
Eephus,Spencer Torkelson,DET,1B
Eephus,Thairo Estrada,SF,2B SS
Eephus,Tyler Stephenson,CIN,C
Eephus,William Contreras,ATL,C
Eephus,Yandy Diaz,TB,3B
FIPS,Adbert Alzolay,CHC,SP
FIPS,Alex Wood,SF,SP
FIPS,Andrew Heaney,LAD,SP
FIPS,Brady Singer,KC,SP
FIPS,Christian Vazquez,HOU,C
FIPS,CJ Abrams,WSH,SS
FIPS,Evan Longoria,SF,3B
